|dates|Nelson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Nelson_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Nelson_NorthDakota_UnitedStates.Male_Total_Population.data|Nelson_NorthDakota_UnitedStates.Male_Total_Population.missing|Nelson_NorthDakota_UnitedStates.Female_Total_Population.data|Nelson_NorthDakota_UnitedStates.Female_Total_Population.missing|Nelson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Nelson_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-18|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-19|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-20|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-21|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-22|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-23|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-24|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-25|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-26|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-27|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-28|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-29|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-30|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-10-31|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-01|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-02|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-03|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-04|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-05|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-06|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-07|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-08|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-09|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-10|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-11|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-12|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-13|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-14|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-15|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-16|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-17|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-18|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-19|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-20|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-21|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-22|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-23|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-24|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-25|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-26|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-27|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-28|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-29|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-11-30|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-01|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-02|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-03|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-04|772.0|0|1472.0|0|1397.0|0|554.0|0
0|2021-12-05|772.0|0|1472.0|0|1397.0|0|554.0|0
