|dates|Bates_Missouri_UnitedStates.JHU_ConfirmedCases.data|Bates_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Bates_Missouri_UnitedStates.NYT_ConfirmedCases.data|Bates_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Bates_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Bates_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Bates_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Bates_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2278.0|0|2278.0|0|42.0|0|0.0|100
0|2021-10-18|2279.0|0|2279.0|0|43.0|0|0.0|100
0|2021-10-19|2286.0|0|2286.0|0|43.0|0|0.0|100
0|2021-10-20|2290.0|0|2290.0|0|43.0|0|0.0|100
0|2021-10-21|2290.0|0|2290.0|0|43.0|0|0.0|100
0|2021-10-22|2292.0|0|2292.0|0|43.0|0|0.0|100
0|2021-10-23|2297.0|0|2297.0|0|43.0|0|0.0|100
0|2021-10-24|2304.0|0|2304.0|0|43.0|0|0.0|100
0|2021-10-25|2304.0|0|2304.0|0|43.0|0|0.0|100
0|2021-10-26|2309.0|0|2309.0|0|43.0|0|0.0|100
0|2021-10-27|2310.0|0|2310.0|0|43.0|0|0.0|100
0|2021-10-28|2312.0|0|2312.0|0|43.0|0|0.0|100
0|2021-10-29|2315.0|0|2315.0|0|43.0|0|0.0|100
0|2021-10-30|2321.0|0|2321.0|0|43.0|0|0.0|100
0|2021-10-31|2322.0|0|2322.0|0|43.0|0|0.0|100
0|2021-11-01|2322.0|0|2322.0|0|43.0|0|0.0|100
0|2021-11-02|2322.0|0|2322.0|0|43.0|0|0.0|100
0|2021-11-03|2327.0|0|2327.0|0|43.0|0|0.0|100
0|2021-11-04|2331.0|0|2331.0|0|43.0|0|0.0|100
0|2021-11-05|2339.0|0|2339.0|0|43.0|0|0.0|100
0|2021-11-06|2346.0|0|2346.0|0|43.0|0|0.0|100
0|2021-11-07|2349.0|0|2349.0|0|43.0|0|0.0|100
0|2021-11-08|2352.0|0|2352.0|0|43.0|0|0.0|100
0|2021-11-09|2354.0|0|2354.0|0|43.0|0|0.0|100
0|2021-11-10|2362.0|0|2362.0|0|43.0|0|0.0|100
0|2021-11-11|2362.0|0|2362.0|0|43.0|0|0.0|100
0|2021-11-12|2374.0|0|2374.0|0|43.0|0|0.0|100
0|2021-11-13|2382.0|0|2382.0|0|43.0|0|0.0|100
0|2021-11-14|2384.0|0|2384.0|0|43.0|0|0.0|100
0|2021-11-15|2387.0|0|2387.0|0|43.0|0|0.0|100
0|2021-11-16|2400.0|0|2400.0|0|43.0|0|0.0|100
0|2021-11-17|2404.0|0|2404.0|0|43.0|0|0.0|100
0|2021-11-18|2439.0|0|2439.0|0|44.0|0|0.0|100
0|2021-11-19|2445.0|0|2445.0|0|44.0|0|0.0|100
