|dates|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Jackson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Jackson_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5534.0|0|5534.0|0|70.0|0|0.0|100
0|2021-10-18|5572.0|0|5572.0|0|70.0|0|0.0|100
0|2021-10-19|5581.0|0|5581.0|0|70.0|0|0.0|100
0|2021-10-20|5586.0|0|5586.0|0|70.0|0|0.0|100
0|2021-10-21|5598.0|0|5598.0|0|70.0|0|0.0|100
0|2021-10-22|5605.0|0|5605.0|0|71.0|0|0.0|100
0|2021-10-23|5605.0|0|5605.0|0|71.0|0|0.0|100
0|2021-10-24|5605.0|0|5605.0|0|71.0|0|0.0|100
0|2021-10-25|5618.0|0|5618.0|0|71.0|0|0.0|100
0|2021-10-26|5629.0|0|5629.0|0|71.0|0|0.0|100
0|2021-10-27|5637.0|0|5637.0|0|71.0|0|0.0|100
0|2021-10-28|5643.0|0|5643.0|0|71.0|0|0.0|100
0|2021-10-29|5652.0|0|5652.0|0|71.0|0|0.0|100
0|2021-10-30|5652.0|0|5652.0|0|71.0|0|0.0|100
0|2021-10-31|5652.0|0|5652.0|0|71.0|0|0.0|100
0|2021-11-01|5669.0|0|5669.0|0|71.0|0|0.0|100
0|2021-11-02|5680.0|0|5680.0|0|71.0|0|0.0|100
0|2021-11-03|5680.0|0|5680.0|0|71.0|0|0.0|100
0|2021-11-04|5715.0|0|5715.0|0|71.0|0|0.0|100
0|2021-11-05|5722.0|0|5722.0|0|72.0|0|0.0|100
0|2021-11-06|5722.0|0|5722.0|0|72.0|0|0.0|100
0|2021-11-07|5722.0|0|5722.0|0|72.0|0|0.0|100
0|2021-11-08|5753.0|0|5753.0|0|72.0|0|0.0|100
0|2021-11-09|5759.0|0|5759.0|0|72.0|0|0.0|100
0|2021-11-10|5763.0|0|5763.0|0|72.0|0|0.0|100
0|2021-11-11|5763.0|0|5763.0|0|72.0|0|0.0|100
0|2021-11-12|5780.0|0|5780.0|0|72.0|0|0.0|100
0|2021-11-13|5780.0|0|5780.0|0|72.0|0|0.0|100
0|2021-11-14|5780.0|0|5780.0|0|72.0|0|0.0|100
0|2021-11-15|5794.0|0|5794.0|0|72.0|0|0.0|100
0|2021-11-16|5798.0|0|5798.0|0|72.0|0|0.0|100
0|2021-11-17|5811.0|0|5811.0|0|72.0|0|0.0|100
0|2021-11-18|5820.0|0|5820.0|0|72.0|0|0.0|100
0|2021-11-19|5824.0|0|5824.0|0|72.0|0|0.0|100
0|2021-11-20|5824.0|0|5824.0|0|72.0|0|0.0|100
0|2021-11-21|5824.0|0|5824.0|0|72.0|0|0.0|100
0|2021-11-22|5835.0|0|5835.0|0|72.0|0|0.0|100
0|2021-11-23|5854.0|0|5854.0|0|72.0|0|0.0|100
0|2021-11-24|5868.0|0|5868.0|0|72.0|0|0.0|100
0|2021-11-25|5868.0|0|5868.0|0|72.0|0|0.0|100
0|2021-11-26|5868.0|0|5868.0|0|72.0|0|0.0|100
