|dates|Powell_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Powell_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Powell_Kentucky_UnitedStates.Male_Total_Population.data|Powell_Kentucky_UnitedStates.Male_Total_Population.missing|Powell_Kentucky_UnitedStates.Female_Total_Population.data|Powell_Kentucky_UnitedStates.Female_Total_Population.missing|Powell_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Powell_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-18|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-19|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-20|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-21|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-22|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-23|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-24|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-25|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-26|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-27|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-28|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-29|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-30|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-10-31|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-01|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-02|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-03|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-04|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-05|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-06|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-07|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-08|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-09|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-10|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-11|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-12|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-13|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-14|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-15|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-16|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-17|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-18|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-19|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-20|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-21|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-22|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-23|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-24|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-25|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-26|1975.0|0|6177.0|0|6265.0|0|3000.0|0
0|2021-11-27|1975.0|0|6177.0|0|6265.0|0|3000.0|0
