|dates|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.Male_Total_Population.data|Hoonah-Angoon_Alaska_UnitedStates.Male_Total_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.Female_Total_Population.data|Hoonah-Angoon_Alaska_UnitedStates.Female_Total_Population.missing|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_Under18_Population.data|Hoonah-Angoon_Alaska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-18|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-19|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-20|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-21|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-22|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-23|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-24|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-25|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-26|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-27|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-28|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-29|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-30|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-10-31|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-01|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-02|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-03|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-04|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-05|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-06|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-07|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-08|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-09|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-10|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-11|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-12|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-13|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-14|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-15|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-16|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-17|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-18|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-19|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-20|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-21|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-22|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-23|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-24|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-25|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-26|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-27|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-28|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-29|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-11-30|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-01|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-02|483.0|0|1134.0|0|1017.0|0|397.0|0
0|2021-12-03|483.0|0|1134.0|0|1017.0|0|397.0|0
