|dates|Shawnee_Kansas_UnitedStates.JHU_ConfirmedCases.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Shawnee_Kansas_UnitedStates.NYT_ConfirmedCases.data|Shawnee_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Shawnee_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Shawnee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Shawnee_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|25162.0|0|25162.0|0|445.0|0|0.0|100
0|2021-10-18|25276.0|0|25276.0|0|445.0|0|0.0|100
0|2021-10-19|25276.0|0|25276.0|0|445.0|0|0.0|100
0|2021-10-20|25370.0|0|25370.0|0|445.0|0|0.0|100
0|2021-10-21|25370.0|0|25370.0|0|445.0|0|0.0|100
0|2021-10-22|25443.0|0|25443.0|0|447.0|0|0.0|100
0|2021-10-23|25443.0|0|25443.0|0|447.0|0|0.0|100
0|2021-10-24|25443.0|0|25443.0|0|447.0|0|0.0|100
0|2021-10-25|25505.0|0|25505.0|0|449.0|0|0.0|100
0|2021-10-26|25505.0|0|25505.0|0|449.0|0|0.0|100
0|2021-10-27|25605.0|0|25605.0|0|456.0|0|0.0|100
0|2021-10-28|25605.0|0|25605.0|0|456.0|0|0.0|100
0|2021-10-29|25698.0|0|25698.0|0|466.0|0|0.0|100
0|2021-10-30|25698.0|0|25698.0|0|466.0|0|0.0|100
0|2021-10-31|25698.0|0|25698.0|0|466.0|0|0.0|100
0|2021-11-01|25750.0|0|25750.0|0|466.0|0|0.0|100
0|2021-11-02|25750.0|0|25750.0|0|466.0|0|0.0|100
0|2021-11-03|25853.0|0|25853.0|0|469.0|0|0.0|100
0|2021-11-04|25853.0|0|25853.0|0|469.0|0|0.0|100
0|2021-11-05|25961.0|0|25961.0|0|472.0|0|0.0|100
