|dates|Ottawa_Kansas_UnitedStates.JHU_ConfirmedCases.data|Ottawa_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Ottawa_Kansas_UnitedStates.NYT_ConfirmedCases.data|Ottawa_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Ottawa_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Ottawa_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Ottawa_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Ottawa_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|700.0|0|700.0|0|14.0|0|0.0|100
0|2021-10-18|704.0|0|704.0|0|14.0|0|0.0|100
0|2021-10-19|704.0|0|704.0|0|14.0|0|0.0|100
0|2021-10-20|709.0|0|709.0|0|14.0|0|0.0|100
0|2021-10-21|709.0|0|709.0|0|14.0|0|0.0|100
0|2021-10-22|716.0|0|716.0|0|14.0|0|0.0|100
0|2021-10-23|716.0|0|716.0|0|14.0|0|0.0|100
0|2021-10-24|716.0|0|716.0|0|14.0|0|0.0|100
0|2021-10-25|721.0|0|721.0|0|14.0|0|0.0|100
0|2021-10-26|721.0|0|721.0|0|14.0|0|0.0|100
0|2021-10-27|735.0|0|735.0|0|13.0|0|0.0|100
0|2021-10-28|735.0|0|735.0|0|13.0|0|0.0|100
0|2021-10-29|741.0|0|741.0|0|13.0|0|0.0|100
0|2021-10-30|741.0|0|741.0|0|13.0|0|0.0|100
0|2021-10-31|741.0|0|741.0|0|13.0|0|0.0|100
0|2021-11-01|744.0|0|744.0|0|13.0|0|0.0|100
0|2021-11-02|744.0|0|744.0|0|13.0|0|0.0|100
0|2021-11-03|751.0|0|751.0|0|13.0|0|0.0|100
0|2021-11-04|751.0|0|751.0|0|13.0|0|0.0|100
0|2021-11-05|764.0|0|764.0|0|14.0|0|0.0|100
0|2021-11-06|764.0|0|764.0|0|14.0|0|0.0|100
0|2021-11-07|764.0|0|764.0|0|14.0|0|0.0|100
0|2021-11-08|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-11-09|768.0|0|768.0|0|14.0|0|0.0|100
0|2021-11-10|768.0|0|776.0|0|14.0|0|0.0|100
0|2021-11-11|776.0|0|776.0|0|14.0|0|0.0|100
0|2021-11-12|785.0|0|785.0|0|14.0|0|0.0|100
0|2021-11-13|785.0|0|785.0|0|14.0|0|0.0|100
0|2021-11-14|785.0|0|785.0|0|14.0|0|0.0|100
0|2021-11-15|788.0|0|788.0|0|14.0|0|0.0|100
0|2021-11-16|788.0|0|788.0|0|14.0|0|0.0|100
0|2021-11-17|793.0|0|793.0|0|14.0|0|0.0|100
