|dates|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedCases.data|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedCases.missing|PrinceGeorge_Virginia_UnitedStates.NYT_ConfirmedCases.data|PrinceGeorge_Virginia_UnitedStates.NYT_ConfirmedCases.missing|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|PrinceGeorge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4858.0|0|4858.0|0|38.0|0|0.0|100
0|2021-10-18|4882.0|0|4882.0|0|40.0|0|0.0|100
0|2021-10-19|4892.0|0|4892.0|0|40.0|0|0.0|100
0|2021-10-20|4900.0|0|4900.0|0|40.0|0|0.0|100
0|2021-10-21|4908.0|0|4908.0|0|41.0|0|0.0|100
0|2021-10-22|4919.0|0|4919.0|0|41.0|0|0.0|100
0|2021-10-23|4919.0|0|4919.0|0|41.0|0|0.0|100
0|2021-10-24|4919.0|0|4919.0|0|41.0|0|0.0|100
0|2021-10-25|4938.0|0|4938.0|0|43.0|0|0.0|100
0|2021-10-26|4943.0|0|4943.0|0|43.0|0|0.0|100
0|2021-10-27|4950.0|0|4950.0|0|43.0|0|0.0|100
0|2021-10-28|4959.0|0|4959.0|0|43.0|0|0.0|100
0|2021-10-29|4963.0|0|4963.0|0|43.0|0|0.0|100
0|2021-10-30|4963.0|0|4963.0|0|43.0|0|0.0|100
0|2021-10-31|4963.0|0|4963.0|0|43.0|0|0.0|100
0|2021-11-01|4974.0|0|4974.0|0|43.0|0|0.0|100
0|2021-11-02|4977.0|0|4977.0|0|44.0|0|0.0|100
0|2021-11-03|4986.0|0|4986.0|0|45.0|0|0.0|100
0|2021-11-04|5014.0|0|5014.0|0|46.0|0|0.0|100
0|2021-11-05|5057.0|0|5057.0|0|46.0|0|0.0|100
0|2021-11-06|5057.0|0|5057.0|0|46.0|0|0.0|100
0|2021-11-07|5057.0|0|5057.0|0|46.0|0|0.0|100
0|2021-11-08|5113.0|0|5113.0|0|46.0|0|0.0|100
0|2021-11-09|5136.0|0|5136.0|0|47.0|0|0.0|100
0|2021-11-10|5136.0|0|5155.0|0|47.0|0|0.0|100
0|2021-11-11|5182.0|0|5182.0|0|48.0|0|0.0|100
0|2021-11-12|5194.0|0|5194.0|0|48.0|0|0.0|100
0|2021-11-13|5194.0|0|5194.0|0|48.0|0|0.0|100
0|2021-11-14|5194.0|0|5194.0|0|48.0|0|0.0|100
0|2021-11-15|5209.0|0|5209.0|0|48.0|0|0.0|100
0|2021-11-16|5215.0|0|5215.0|0|49.0|0|0.0|100
0|2021-11-17|5219.0|0|5219.0|0|49.0|0|0.0|100
0|2021-11-18|5223.0|0|5223.0|0|49.0|0|0.0|100
0|2021-11-19|5232.0|0|5232.0|0|49.0|0|0.0|100
0|2021-11-20|5232.0|0|5232.0|0|49.0|0|0.0|100
0|2021-11-21|5232.0|0|5232.0|0|49.0|0|0.0|100
0|2021-11-22|5245.0|0|5245.0|0|51.0|0|0.0|100
0|2021-11-23|5257.0|0|5257.0|0|51.0|0|0.0|100
0|2021-11-24|5263.0|0|5263.0|0|51.0|0|0.0|100
0|2021-11-25|5268.0|0|5268.0|0|51.0|0|0.0|100
0|2021-11-26|5269.0|0|5269.0|0|51.0|0|0.0|100
0|2021-11-27|5269.0|0|5269.0|0|51.0|0|0.0|100
0|2021-11-28|5269.0|0|5269.0|0|51.0|0|0.0|100
0|2021-11-29|5281.0|0|5281.0|0|51.0|0|0.0|100
0|2021-11-30|5290.0|0|5290.0|0|51.0|0|0.0|100
0|2021-12-01|5295.0|0|5295.0|0|51.0|0|0.0|100
0|2021-12-02|5303.0|0|5303.0|0|51.0|0|0.0|100
0|2021-12-03|5308.0|0|5308.0|0|51.0|0|0.0|100
0|2021-12-04|5308.0|0|5308.0|0|51.0|0|0.0|100
0|2021-12-05|5308.0|0|5308.0|0|51.0|0|0.0|100
0|2021-12-06|5330.0|0|5330.0|0|51.0|0|0.0|100
0|2021-12-07|5334.0|0|5334.0|0|52.0|0|0.0|100
0|2021-12-08|5345.0|0|5345.0|0|52.0|0|0.0|100
0|2021-12-09|5354.0|0|5354.0|0|52.0|0|0.0|100
0|2021-12-10|5362.0|0|5362.0|0|52.0|0|0.0|100
0|2021-12-11|5362.0|0|5362.0|0|52.0|0|0.0|100
0|2021-12-12|5362.0|0|5362.0|0|52.0|0|0.0|100
