|dates|Utah_Utah_UnitedStates.JHU_ConfirmedCases.data|Utah_Utah_UnitedStates.JHU_ConfirmedCases.missing|Utah_Utah_UnitedStates.NYT_ConfirmedCases.data|Utah_Utah_UnitedStates.NYT_ConfirmedCases.missing|Utah_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Utah_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Utah_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Utah_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|122111.0|0|122111.0|0|524.0|0|0.0|100
0|2021-10-18|122689.0|0|122689.0|0|526.0|0|0.0|100
0|2021-10-19|122933.0|0|122933.0|0|526.0|0|0.0|100
0|2021-10-20|123161.0|0|123161.0|0|526.0|0|0.0|100
0|2021-10-21|123644.0|0|123644.0|0|529.0|0|0.0|100
0|2021-10-22|123941.0|0|123941.0|0|531.0|0|0.0|100
0|2021-10-23|123941.0|0|123941.0|0|531.0|0|0.0|100
0|2021-10-24|123941.0|0|123941.0|0|531.0|0|0.0|100
0|2021-10-25|124561.0|0|124561.0|0|537.0|0|0.0|100
0|2021-10-26|124845.0|0|124845.0|0|537.0|0|0.0|100
0|2021-10-27|125224.0|0|125224.0|0|539.0|0|0.0|100
0|2021-10-28|125570.0|0|125570.0|0|540.0|0|0.0|100
0|2021-10-29|125845.0|0|125845.0|0|543.0|0|0.0|100
0|2021-10-30|125845.0|0|125845.0|0|543.0|0|0.0|100
0|2021-10-31|125845.0|0|125845.0|0|543.0|0|0.0|100
0|2021-11-01|126420.0|0|126420.0|0|548.0|0|0.0|100
0|2021-11-02|126634.0|0|126634.0|0|548.0|0|0.0|100
0|2021-11-03|127089.0|0|127089.0|0|552.0|0|0.0|100
0|2021-11-04|127542.0|0|127542.0|0|554.0|0|0.0|100
0|2021-11-05|127887.0|0|127887.0|0|554.0|0|0.0|100
0|2021-11-06|127887.0|0|127887.0|0|554.0|0|0.0|100
0|2021-11-07|127887.0|0|127887.0|0|554.0|0|0.0|100
0|2021-11-08|128723.0|0|128723.0|0|559.0|0|0.0|100
0|2021-11-09|129077.0|0|129077.0|0|561.0|0|0.0|100
0|2021-11-10|129077.0|0|129361.0|0|561.0|0|0.0|100
0|2021-11-11|129361.0|0|129361.0|0|563.0|0|0.0|100
0|2021-11-12|130226.0|0|130226.0|0|566.0|0|0.0|100
0|2021-11-13|130226.0|0|130226.0|0|566.0|0|0.0|100
0|2021-11-14|130226.0|0|130226.0|0|566.0|0|0.0|100
0|2021-11-15|131211.0|0|131211.0|0|568.0|0|0.0|100
0|2021-11-16|131519.0|0|131519.0|0|571.0|0|0.0|100
0|2021-11-17|131990.0|0|131990.0|0|573.0|0|0.0|100
0|2021-11-18|132442.0|0|132442.0|0|577.0|0|0.0|100
0|2021-11-19|132830.0|0|132830.0|0|583.0|0|0.0|100
0|2021-11-20|132830.0|0|132830.0|0|583.0|0|0.0|100
0|2021-11-21|132830.0|0|132830.0|0|583.0|0|0.0|100
0|2021-11-22|133726.0|0|133726.0|0|584.0|0|0.0|100
0|2021-11-23|134009.0|0|134009.0|0|588.0|0|0.0|100
0|2021-11-24|134431.0|0|134431.0|0|591.0|0|0.0|100
0|2021-11-25|134431.0|0|134431.0|0|591.0|0|0.0|100
0|2021-11-26|135007.0|0|135007.0|0|599.0|0|0.0|100
0|2021-11-27|135007.0|0|135007.0|0|599.0|0|0.0|100
0|2021-11-28|135007.0|0|135007.0|0|599.0|0|0.0|100
0|2021-11-29|135545.0|0|135545.0|0|605.0|0|0.0|100
0|2021-11-30|135852.0|0|135852.0|0|607.0|0|0.0|100
0|2021-12-01|136531.0|0|136531.0|0|608.0|0|0.0|100
0|2021-12-02|136991.0|0|136991.0|0|608.0|0|0.0|100
0|2021-12-03|137474.0|0|137474.0|0|609.0|0|0.0|100
0|2021-12-04|137474.0|0|137474.0|0|609.0|0|0.0|100
0|2021-12-05|137474.0|0|137474.0|0|609.0|0|0.0|100
0|2021-12-06|138344.0|0|138344.0|0|613.0|0|0.0|100
0|2021-12-07|138626.0|0|138626.0|0|617.0|0|0.0|100
0|2021-12-08|138991.0|0|138991.0|0|617.0|0|0.0|100
0|2021-12-09|139299.0|0|139299.0|0|617.0|0|0.0|100
0|2021-12-10|139619.0|0|139619.0|0|619.0|0|0.0|100
0|2021-12-11|139619.0|0|139619.0|0|619.0|0|0.0|100
0|2021-12-12|139619.0|0|139619.0|0|619.0|0|0.0|100
0|2021-12-13|140228.0|0|140228.0|0|627.0|0|0.0|100
0|2021-12-14|140228.0|0|140434.0|0|627.0|0|0.0|100
