|dates|Union_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Union_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Union_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Union_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Union_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Union_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4420.0|0|4420.0|0|100.0|0|0.0|100
0|2021-10-18|4449.0|0|4449.0|0|101.0|0|0.0|100
0|2021-10-19|4461.0|0|4461.0|0|101.0|0|0.0|100
0|2021-10-20|4462.0|0|4462.0|0|101.0|0|0.0|100
0|2021-10-21|4473.0|0|4473.0|0|101.0|0|0.0|100
0|2021-10-22|4485.0|0|4485.0|0|101.0|0|0.0|100
0|2021-10-23|4485.0|0|4485.0|0|101.0|0|0.0|100
0|2021-10-24|4485.0|0|4485.0|0|101.0|0|0.0|100
0|2021-10-25|4519.0|0|4519.0|0|103.0|0|0.0|100
0|2021-10-26|4523.0|0|4523.0|0|103.0|0|0.0|100
0|2021-10-27|4542.0|0|4542.0|0|103.0|0|0.0|100
0|2021-10-28|4555.0|0|4555.0|0|105.0|0|0.0|100
0|2021-10-29|4575.0|0|4575.0|0|105.0|0|0.0|100
0|2021-10-30|4575.0|0|4575.0|0|105.0|0|0.0|100
0|2021-10-31|4575.0|0|4575.0|0|105.0|0|0.0|100
0|2021-11-01|4640.0|0|4640.0|0|106.0|0|0.0|100
0|2021-11-02|4642.0|0|4642.0|0|106.0|0|0.0|100
0|2021-11-03|4661.0|0|4661.0|0|106.0|0|0.0|100
0|2021-11-04|4682.0|0|4682.0|0|106.0|0|0.0|100
0|2021-11-05|4692.0|0|4692.0|0|106.0|0|0.0|100
0|2021-11-06|4692.0|0|4692.0|0|106.0|0|0.0|100
0|2021-11-07|4692.0|0|4692.0|0|106.0|0|0.0|100
0|2021-11-08|4732.0|0|4732.0|0|106.0|0|0.0|100
0|2021-11-09|4738.0|0|4738.0|0|106.0|0|0.0|100
0|2021-11-10|4738.0|0|4743.0|0|106.0|0|0.0|100
0|2021-11-11|4743.0|0|4743.0|0|105.0|0|0.0|100
0|2021-11-12|4769.0|0|4769.0|0|105.0|0|0.0|100
0|2021-11-13|4769.0|0|4769.0|0|105.0|0|0.0|100
0|2021-11-14|4769.0|0|4769.0|0|105.0|0|0.0|100
0|2021-11-15|4777.0|0|4777.0|0|105.0|0|0.0|100
0|2021-11-16|4782.0|0|4781.0|0|105.0|0|0.0|100
0|2021-11-17|4788.0|0|4788.0|0|106.0|0|0.0|100
0|2021-11-18|4799.0|0|4799.0|0|106.0|0|0.0|100
0|2021-11-19|4812.0|0|4812.0|0|106.0|0|0.0|100
0|2021-11-20|4812.0|0|4812.0|0|106.0|0|0.0|100
0|2021-11-21|4812.0|0|4812.0|0|106.0|0|0.0|100
0|2021-11-22|4821.0|0|4821.0|0|106.0|0|0.0|100
0|2021-11-23|4821.0|0|4821.0|0|106.0|0|0.0|100
0|2021-11-24|4831.0|0|4831.0|0|106.0|0|0.0|100
0|2021-11-25|4831.0|0|4831.0|0|106.0|0|0.0|100
0|2021-11-26|4840.0|0|4840.0|0|108.0|0|0.0|100
0|2021-11-27|4840.0|0|4840.0|0|108.0|0|0.0|100
0|2021-11-28|4840.0|0|4840.0|0|108.0|0|0.0|100
0|2021-11-29|4857.0|0|4857.0|0|108.0|0|0.0|100
0|2021-11-30|4857.0|0|4857.0|0|108.0|0|0.0|100
0|2021-12-01|4875.0|0|4875.0|0|108.0|0|0.0|100
0|2021-12-02|4879.0|0|4879.0|0|112.0|0|0.0|100
0|2021-12-03|4889.0|0|4889.0|0|112.0|0|0.0|100
0|2021-12-04|4889.0|0|4889.0|0|112.0|0|0.0|100
0|2021-12-05|4889.0|0|4889.0|0|112.0|0|0.0|100
0|2021-12-06|4901.0|0|4901.0|0|112.0|0|0.0|100
0|2021-12-07|4904.0|0|4904.0|0|112.0|0|0.0|100
0|2021-12-08|4910.0|0|4910.0|0|112.0|0|0.0|100
