|dates|Knox_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Knox_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Knox_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Knox_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Knox_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Knox_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Knox_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Knox_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1033.0|0|1033.0|0|12.0|0|0.0|100
0|2021-10-18|1043.0|0|1043.0|0|12.0|0|0.0|100
0|2021-10-19|1048.0|0|1048.0|0|12.0|0|0.0|100
0|2021-10-20|1055.0|0|1055.0|0|12.0|0|0.0|100
0|2021-10-21|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-22|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-23|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-24|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-25|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-26|1056.0|0|1056.0|0|12.0|0|0.0|100
0|2021-10-27|1076.0|0|1076.0|0|12.0|0|0.0|100
0|2021-10-28|1076.0|0|1076.0|0|12.0|0|0.0|100
0|2021-10-29|1076.0|0|1080.0|0|12.0|0|0.0|100
0|2021-10-30|1076.0|0|1080.0|0|12.0|0|0.0|100
0|2021-10-31|1076.0|0|1084.0|0|12.0|0|0.0|100
0|2021-11-01|1076.0|0|1093.0|0|12.0|0|0.0|100
0|2021-11-02|1076.0|0|1093.0|0|12.0|0|0.0|100
0|2021-11-03|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-04|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-05|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-06|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-07|1097.0|0|1097.0|0|12.0|0|0.0|100
0|2021-11-08|1107.0|0|1107.0|0|12.0|0|0.0|100
0|2021-11-09|1110.0|0|1110.0|0|12.0|0|0.0|100
0|2021-11-10|1110.0|0|1115.0|0|12.0|0|0.0|100
0|2021-11-11|1118.0|0|1118.0|0|12.0|0|0.0|100
