|dates|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Lee_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Lee_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9299.0|0|9299.0|0|105.0|0|0.0|100
0|2021-10-18|9332.0|0|9332.0|0|105.0|0|0.0|100
0|2021-10-19|9333.0|0|9333.0|0|106.0|0|0.0|100
0|2021-10-20|9347.0|0|9347.0|0|107.0|0|0.0|100
0|2021-10-21|9353.0|0|9353.0|0|107.0|0|0.0|100
0|2021-10-22|9363.0|0|9363.0|0|108.0|0|0.0|100
0|2021-10-23|9363.0|0|9363.0|0|108.0|0|0.0|100
0|2021-10-24|9363.0|0|9363.0|0|108.0|0|0.0|100
0|2021-10-25|9395.0|0|9395.0|0|108.0|0|0.0|100
0|2021-10-26|9395.0|0|9395.0|0|108.0|0|0.0|100
0|2021-10-27|9404.0|0|9404.0|0|108.0|0|0.0|100
0|2021-10-28|9419.0|0|9419.0|0|109.0|0|0.0|100
0|2021-10-29|9434.0|0|9434.0|0|109.0|0|0.0|100
0|2021-10-30|9434.0|0|9434.0|0|109.0|0|0.0|100
0|2021-10-31|9434.0|0|9434.0|0|109.0|0|0.0|100
0|2021-11-01|9453.0|0|9453.0|0|110.0|0|0.0|100
0|2021-11-02|9459.0|0|9459.0|0|110.0|0|0.0|100
0|2021-11-03|9466.0|0|9466.0|0|110.0|0|0.0|100
0|2021-11-04|9478.0|0|9478.0|0|110.0|0|0.0|100
0|2021-11-05|9487.0|0|9487.0|0|110.0|0|0.0|100
0|2021-11-06|9487.0|0|9487.0|0|110.0|0|0.0|100
0|2021-11-07|9487.0|0|9487.0|0|110.0|0|0.0|100
0|2021-11-08|9507.0|0|9507.0|0|110.0|0|0.0|100
0|2021-11-09|9515.0|0|9515.0|0|110.0|0|0.0|100
0|2021-11-10|9515.0|0|9519.0|0|110.0|0|0.0|100
0|2021-11-11|9519.0|0|9519.0|0|110.0|0|0.0|100
0|2021-11-12|9533.0|0|9533.0|0|110.0|0|0.0|100
0|2021-11-13|9533.0|0|9533.0|0|110.0|0|0.0|100
0|2021-11-14|9533.0|0|9533.0|0|110.0|0|0.0|100
0|2021-11-15|9557.0|0|9557.0|0|110.0|0|0.0|100
0|2021-11-16|9557.0|0|9557.0|0|110.0|0|0.0|100
