|dates|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Oconto_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Oconto_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Oconto_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7013.0|0|7013.0|0|76.0|0|0.0|100
0|2021-10-18|7041.0|0|7041.0|0|76.0|0|0.0|100
0|2021-10-19|7065.0|0|7065.0|0|76.0|0|0.0|100
0|2021-10-20|7081.0|0|7081.0|0|76.0|0|0.0|100
0|2021-10-21|7108.0|0|7108.0|0|76.0|0|0.0|100
0|2021-10-22|7126.0|0|7126.0|0|76.0|0|0.0|100
0|2021-10-23|7126.0|0|7126.0|0|76.0|0|0.0|100
0|2021-10-24|7126.0|0|7126.0|0|76.0|0|0.0|100
0|2021-10-25|7158.0|0|7158.0|0|76.0|0|0.0|100
0|2021-10-26|7190.0|0|7190.0|0|76.0|0|0.0|100
0|2021-10-27|7206.0|0|7206.0|0|76.0|0|0.0|100
0|2021-10-28|7233.0|0|7233.0|0|76.0|0|0.0|100
0|2021-10-29|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-10-30|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-10-31|7251.0|0|7251.0|0|77.0|0|0.0|100
0|2021-11-01|7288.0|0|7288.0|0|77.0|0|0.0|100
0|2021-11-02|7320.0|0|7320.0|0|77.0|0|0.0|100
0|2021-11-03|7346.0|0|7346.0|0|77.0|0|0.0|100
0|2021-11-04|7369.0|0|7369.0|0|77.0|0|0.0|100
0|2021-11-05|7387.0|0|7387.0|0|77.0|0|0.0|100
0|2021-11-06|7387.0|0|7387.0|0|77.0|0|0.0|100
0|2021-11-07|7387.0|0|7387.0|0|77.0|0|0.0|100
0|2021-11-08|7414.0|0|7414.0|0|77.0|0|0.0|100
0|2021-11-09|7445.0|0|7445.0|0|77.0|0|0.0|100
0|2021-11-10|7445.0|0|7477.0|0|77.0|0|0.0|100
0|2021-11-11|7505.0|0|7505.0|0|77.0|0|0.0|100
0|2021-11-12|7529.0|0|7529.0|0|77.0|0|0.0|100
0|2021-11-13|7529.0|0|7529.0|0|77.0|0|0.0|100
0|2021-11-14|7529.0|0|7529.0|0|77.0|0|0.0|100
0|2021-11-15|7565.0|0|7565.0|0|77.0|0|0.0|100
0|2021-11-16|7600.0|0|7600.0|0|77.0|0|0.0|100
0|2021-11-17|7633.0|0|7633.0|0|77.0|0|0.0|100
0|2021-11-18|7659.0|0|7659.0|0|77.0|0|0.0|100
0|2021-11-19|7690.0|0|7690.0|0|77.0|0|0.0|100
0|2021-11-20|7690.0|0|7690.0|0|77.0|0|0.0|100
0|2021-11-21|7690.0|0|7690.0|0|77.0|0|0.0|100
0|2021-11-22|7735.0|0|7735.0|0|78.0|0|0.0|100
0|2021-11-23|7768.0|0|7768.0|0|78.0|0|0.0|100
0|2021-11-24|7808.0|0|7808.0|0|78.0|0|0.0|100
0|2021-11-25|7842.0|0|7842.0|0|78.0|0|0.0|100
0|2021-11-26|7842.0|0|7842.0|0|78.0|0|0.0|100
0|2021-11-27|7842.0|0|7842.0|0|78.0|0|0.0|100
0|2021-11-28|7842.0|0|7842.0|0|78.0|0|0.0|100
0|2021-11-29|7897.0|0|7897.0|0|78.0|0|0.0|100
0|2021-11-30|7938.0|0|7938.0|0|78.0|0|0.0|100
0|2021-12-01|7977.0|0|7977.0|0|78.0|0|0.0|100
0|2021-12-02|8017.0|0|8017.0|0|78.0|0|0.0|100
0|2021-12-03|8061.0|0|8061.0|0|78.0|0|0.0|100
0|2021-12-04|8061.0|0|8061.0|0|78.0|0|0.0|100
0|2021-12-05|8061.0|0|8061.0|0|78.0|0|0.0|100
0|2021-12-06|8061.0|0|8061.0|0|78.0|0|0.0|100
0|2021-12-07|8061.0|0|8061.0|0|78.0|0|0.0|100
0|2021-12-08|8164.0|0|8164.0|0|78.0|0|0.0|100
0|2021-12-09|8214.0|0|8214.0|0|78.0|0|0.0|100
0|2021-12-10|8249.0|0|8249.0|0|80.0|0|0.0|100
0|2021-12-11|8249.0|0|8249.0|0|80.0|0|0.0|100
0|2021-12-12|8249.0|0|8249.0|0|80.0|0|0.0|100
0|2021-12-13|8318.0|0|8318.0|0|80.0|0|0.0|100
0|2021-12-14|8318.0|0|8362.0|0|80.0|0|0.0|100
0|2021-12-15|8391.0|0|8391.0|0|81.0|0|0.0|100
0|2021-12-16|8418.0|0|8418.0|0|81.0|0|0.0|100
0|2021-12-17|8440.0|0|8440.0|0|81.0|0|0.0|100
0|2021-12-18|8440.0|0|8440.0|0|81.0|0|0.0|100
0|2021-12-19|8440.0|0|8440.0|0|81.0|0|0.0|100
0|2021-12-20|8469.0|0|8469.0|0|84.0|0|0.0|100
0|2021-12-21|8531.0|0|8531.0|0|86.0|0|0.0|100
0|2021-12-22|8569.0|0|8569.0|0|87.0|0|0.0|100
0|2021-12-23|8627.0|0|8627.0|0|88.0|0|0.0|100
0|2021-12-24|8663.0|0|8663.0|0|88.0|0|0.0|100
0|2021-12-25|8663.0|0|8663.0|0|88.0|0|0.0|100
0|2021-12-26|8663.0|0|8663.0|0|88.0|0|0.0|100
0|2021-12-27|8684.0|0|8684.0|0|88.0|0|0.0|100
0|2021-12-28|8747.0|0|8747.0|0|88.0|0|0.0|100
0|2021-12-29|8793.0|0|8793.0|0|88.0|0|0.0|100
0|2021-12-30|8817.0|0|8817.0|0|88.0|0|0.0|100
0|2021-12-31|8852.0|0|8852.0|0|88.0|0|0.0|100
0|2022-01-01|8852.0|0|8852.0|0|88.0|0|0.0|100
0|2022-01-02|8852.0|0|8852.0|0|88.0|0|0.0|100
0|2022-01-03|8875.0|0|8875.0|0|88.0|0|0.0|100
0|2022-01-04|8875.0|0|8959.0|0|88.0|0|0.0|100
0|2022-01-05|9021.0|0|9021.0|0|89.0|0|0.0|100
0|2022-01-06|9075.0|0|9075.0|0|89.0|0|0.0|100
0|2022-01-07|9128.0|0|9128.0|0|89.0|0|0.0|100
0|2022-01-08|9128.0|0|9128.0|0|89.0|0|0.0|100
0|2022-01-09|9128.0|0|9128.0|0|89.0|0|0.0|100
0|2022-01-10|9331.0|0|9331.0|0|89.0|0|0.0|100
0|2022-01-11|9547.0|0|9547.0|0|89.0|0|0.0|100
0|2022-01-12|9687.0|0|9687.0|0|89.0|0|0.0|100
0|2022-01-13|9687.0|0|9783.0|0|89.0|0|0.0|100
0|2022-01-14|9687.0|0|10018.0|0|89.0|0|0.0|100
0|2022-01-15|10018.0|0|10018.0|0|89.0|0|0.0|100
0|2022-01-16|10018.0|0|10018.0|0|89.0|0|0.0|100
0|2022-01-17|10253.0|0|0.0|100|90.0|0|0.0|100
