|dates|Pepin_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pepin_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pepin_Wisconsin_UnitedStates.Male_Total_Population.data|Pepin_Wisconsin_UnitedStates.Male_Total_Population.missing|Pepin_Wisconsin_UnitedStates.Female_Total_Population.data|Pepin_Wisconsin_UnitedStates.Female_Total_Population.missing|Pepin_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Pepin_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-18|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-19|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-20|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-21|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-22|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-23|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-24|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-25|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-26|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-27|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-28|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-29|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-30|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-10-31|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-01|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-02|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-03|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-04|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-05|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-06|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-07|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-08|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-09|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-10|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-11|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-12|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-13|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-14|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-15|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-16|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-17|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-18|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-19|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-20|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-21|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-22|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-23|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-24|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-25|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-26|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-27|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-28|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-29|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-11-30|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-12-01|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-12-02|1631.0|0|3725.0|0|3564.0|0|1521.0|0
0|2021-12-03|1631.0|0|3725.0|0|3564.0|0|1521.0|0
