|dates|Allen_Indiana_UnitedStates.JHU_ConfirmedCases.data|Allen_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Allen_Indiana_UnitedStates.NYT_ConfirmedCases.data|Allen_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Allen_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Allen_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Allen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Allen_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|57160.0|0|57219.0|0|791.0|0|0.0|100
0|2021-10-18|57441.0|0|57500.0|0|793.0|0|0.0|100
0|2021-10-19|57517.0|0|57576.0|0|796.0|0|0.0|100
0|2021-10-20|57674.0|0|57733.0|0|800.0|0|0.0|100
0|2021-10-21|57820.0|0|57879.0|0|801.0|0|0.0|100
0|2021-10-22|57993.0|0|58052.0|0|801.0|0|0.0|100
0|2021-10-23|57993.0|0|58052.0|0|801.0|0|0.0|100
0|2021-10-24|57993.0|0|58052.0|0|801.0|0|0.0|100
0|2021-10-25|58254.0|0|58313.0|0|802.0|0|0.0|100
0|2021-10-26|58341.0|0|58400.0|0|804.0|0|0.0|100
0|2021-10-27|58487.0|0|58547.0|0|809.0|0|0.0|100
0|2021-10-28|58639.0|0|58699.0|0|813.0|0|0.0|100
0|2021-10-29|58784.0|0|58844.0|0|813.0|0|0.0|100
0|2021-10-30|58784.0|0|58844.0|0|813.0|0|0.0|100
0|2021-10-31|58784.0|0|58844.0|0|813.0|0|0.0|100
0|2021-11-01|59115.0|0|59175.0|0|814.0|0|0.0|100
0|2021-11-02|59194.0|0|59254.0|0|819.0|0|0.0|100
0|2021-11-03|59384.0|0|59444.0|0|822.0|0|0.0|100
0|2021-11-04|59550.0|0|59610.0|0|822.0|0|0.0|100
0|2021-11-05|59751.0|0|59811.0|0|825.0|0|0.0|100
0|2021-11-06|59751.0|0|59811.0|0|825.0|0|0.0|100
0|2021-11-07|59751.0|0|59811.0|0|825.0|0|0.0|100
0|2021-11-08|60189.0|0|60249.0|0|827.0|0|0.0|100
0|2021-11-09|60303.0|0|60363.0|0|836.0|0|0.0|100
0|2021-11-10|60559.0|0|60619.0|0|836.0|0|0.0|100
0|2021-11-11|61003.0|0|61063.0|0|838.0|0|0.0|100
0|2021-11-12|61217.0|0|61277.0|0|841.0|0|0.0|100
0|2021-11-13|61217.0|0|61277.0|0|841.0|0|0.0|100
0|2021-11-14|61217.0|0|61277.0|0|841.0|0|0.0|100
0|2021-11-15|61827.0|0|61887.0|0|841.0|0|0.0|100
0|2021-11-16|62055.0|0|62115.0|0|846.0|0|0.0|100
0|2021-11-17|62318.0|0|62378.0|0|851.0|0|0.0|100
0|2021-11-18|62749.0|0|62809.0|0|853.0|0|0.0|100
0|2021-11-19|63033.0|0|63093.0|0|855.0|0|0.0|100
0|2021-11-20|63033.0|0|63093.0|0|855.0|0|0.0|100
0|2021-11-21|63033.0|0|63093.0|0|855.0|0|0.0|100
0|2021-11-22|63727.0|0|63787.0|0|856.0|0|0.0|100
0|2021-11-23|63947.0|0|64007.0|0|861.0|0|0.0|100
0|2021-11-24|64347.0|0|64407.0|0|862.0|0|0.0|100
0|2021-11-25|64347.0|0|64407.0|0|862.0|0|0.0|100
0|2021-11-26|64347.0|0|64407.0|0|862.0|0|0.0|100
0|2021-11-27|64347.0|0|64407.0|0|862.0|0|0.0|100
0|2021-11-28|64347.0|0|64407.0|0|862.0|0|0.0|100
0|2021-11-29|65537.0|0|65597.0|0|867.0|0|0.0|100
0|2021-11-30|65802.0|0|65862.0|0|880.0|0|0.0|100
0|2021-12-01|66280.0|0|66340.0|0|881.0|0|0.0|100
0|2021-12-02|66684.0|0|66744.0|0|881.0|0|0.0|100
0|2021-12-03|67063.0|0|67123.0|0|882.0|0|0.0|100
0|2021-12-04|67063.0|0|67123.0|0|882.0|0|0.0|100
0|2021-12-05|67063.0|0|67123.0|0|882.0|0|0.0|100
0|2021-12-06|68004.0|0|68064.0|0|883.0|0|0.0|100
0|2021-12-07|68335.0|0|68395.0|0|891.0|0|0.0|100
0|2021-12-08|68763.0|0|68823.0|0|897.0|0|0.0|100
0|2021-12-09|69106.0|0|69166.0|0|900.0|0|0.0|100
0|2021-12-10|69421.0|0|69483.0|0|902.0|0|0.0|100
0|2021-12-11|69421.0|0|69483.0|0|902.0|0|0.0|100
0|2021-12-12|69421.0|0|69483.0|0|902.0|0|0.0|100
0|2021-12-13|70137.0|0|70199.0|0|902.0|0|0.0|100
0|2021-12-14|70137.0|0|70394.0|0|902.0|0|0.0|100
0|2021-12-15|70662.0|0|70725.0|0|915.0|0|0.0|100
0|2021-12-16|71072.0|0|71135.0|0|922.0|0|0.0|100
