|dates|Wabasha_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Wabasha_Minnesota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Wabasha_Minnesota_UnitedStates.Male_Total_Population.data|Wabasha_Minnesota_UnitedStates.Male_Total_Population.missing|Wabasha_Minnesota_UnitedStates.Female_Total_Population.data|Wabasha_Minnesota_UnitedStates.Female_Total_Population.missing|Wabasha_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.data|Wabasha_Minnesota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-18|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-19|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-20|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-21|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-22|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-23|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-24|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-25|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-26|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-27|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-28|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-29|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-30|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-10-31|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-01|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-02|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-03|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-04|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-05|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-06|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-07|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-08|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-09|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-10|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-11|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-12|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-13|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-14|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-15|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-16|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-17|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-18|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-19|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-20|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-21|4723.0|0|10845.0|0|10800.0|0|4712.0|0
0|2021-11-22|4723.0|0|10845.0|0|10800.0|0|4712.0|0
