|dates|Terrell_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Terrell_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Terrell_Texas_UnitedStates.Male_Total_Population.data|Terrell_Texas_UnitedStates.Male_Total_Population.missing|Terrell_Texas_UnitedStates.Female_Total_Population.data|Terrell_Texas_UnitedStates.Female_Total_Population.missing|Terrell_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Terrell_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-18|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-19|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-20|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-21|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-22|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-23|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-24|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-25|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-26|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-27|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-28|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-29|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-30|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-10-31|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-01|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-02|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-03|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-04|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-05|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-06|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-07|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-08|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-09|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-10|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-11|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-12|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-13|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-14|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-15|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-16|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-17|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-18|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-19|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-20|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-21|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-22|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-23|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-24|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-25|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-26|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-27|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-28|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-29|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-11-30|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-01|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-02|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-03|244.0|0|421.0|0|402.0|0|163.0|0
0|2021-12-04|244.0|0|421.0|0|402.0|0|163.0|0
