|dates|Bronx_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bronx_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bronx_NewYork_UnitedStates.Male_Total_Population.data|Bronx_NewYork_UnitedStates.Male_Total_Population.missing|Bronx_NewYork_UnitedStates.Female_Total_Population.data|Bronx_NewYork_UnitedStates.Female_Total_Population.missing|Bronx_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Bronx_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-18|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-19|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-20|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-21|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-22|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-23|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-24|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-25|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-26|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-27|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-28|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-29|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-30|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-10-31|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-01|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-02|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-03|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-04|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-05|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-06|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-07|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-08|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-09|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-10|183375.0|0|674900.0|0|757232.0|0|354692.0|0
0|2021-11-11|183375.0|0|674900.0|0|757232.0|0|354692.0|0
