|dates|Dutchess_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dutchess_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dutchess_NewYork_UnitedStates.Male_Total_Population.data|Dutchess_NewYork_UnitedStates.Male_Total_Population.missing|Dutchess_NewYork_UnitedStates.Female_Total_Population.data|Dutchess_NewYork_UnitedStates.Female_Total_Population.missing|Dutchess_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Dutchess_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-18|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-19|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-20|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-21|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-22|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-23|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-24|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-25|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-26|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-27|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-28|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-29|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-30|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-10-31|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-01|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-02|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-03|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-04|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-05|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-06|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-07|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-08|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-09|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-10|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-11|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-12|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-13|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-14|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-15|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-16|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-17|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-18|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-19|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-20|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-21|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-22|51633.0|0|146277.0|0|147441.0|0|55149.0|0
0|2021-11-23|51633.0|0|146277.0|0|147441.0|0|55149.0|0
