|dates|Unassigned_Utah_UnitedStates.JHU_ConfirmedCases.data|Unassigned_Utah_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_Utah_UnitedStates.NYT_ConfirmedCases.data|Unassigned_Utah_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1432.0|0|1717.0|0|2.0|0|0.0|100
0|2021-10-18|1431.0|0|2435.0|0|2.0|0|0.0|100
0|2021-10-19|1432.0|0|1929.0|0|2.0|0|0.0|100
0|2021-10-20|1442.0|0|1767.0|0|2.0|0|0.0|100
0|2021-10-21|1447.0|0|2258.0|0|2.0|0|0.0|100
0|2021-10-22|1449.0|0|1977.0|0|2.0|0|0.0|100
0|2021-10-23|1449.0|0|1947.0|0|2.0|0|0.0|100
0|2021-10-24|1449.0|0|1947.0|0|2.0|0|0.0|100
0|2021-10-25|1457.0|0|2192.0|0|1.0|0|0.0|100
0|2021-10-26|1456.0|0|1804.0|0|1.0|0|0.0|100
0|2021-10-27|1487.0|0|1821.0|0|1.0|0|0.0|100
0|2021-10-28|1510.0|0|2348.0|0|1.0|0|0.0|100
0|2021-10-29|1506.0|0|1862.0|0|1.0|0|0.0|100
0|2021-10-30|1506.0|0|1832.0|0|1.0|0|0.0|100
0|2021-10-31|1506.0|0|1832.0|0|1.0|0|0.0|100
0|2021-11-01|1517.0|0|2478.0|0|1.0|0|0.0|100
0|2021-11-02|1518.0|0|1884.0|0|1.0|0|0.0|100
0|2021-11-03|1527.0|0|2102.0|0|1.0|0|0.0|100
0|2021-11-04|1529.0|0|2250.0|0|1.0|0|0.0|100
0|2021-11-05|1538.0|0|1858.0|0|1.0|0|0.0|100
0|2021-11-06|1538.0|0|1792.0|0|1.0|0|0.0|100
0|2021-11-07|1538.0|0|1792.0|0|1.0|0|0.0|100
0|2021-11-08|1557.0|0|2571.0|0|1.0|0|0.0|100
0|2021-11-09|1565.0|0|1920.0|0|1.0|0|0.0|100
0|2021-11-10|1562.0|0|2187.0|0|2.0|0|0.0|100
0|2021-11-11|1562.0|0|1885.0|0|2.0|0|0.0|100
0|2021-11-12|1567.0|0|1945.0|0|2.0|0|0.0|100
0|2021-11-13|1567.0|0|1899.0|0|2.0|0|0.0|100
0|2021-11-14|1567.0|0|1899.0|0|2.0|0|0.0|100
0|2021-11-15|1574.0|0|2685.0|0|2.0|0|0.0|100
0|2021-11-16|1578.0|0|1927.0|0|2.0|0|0.0|100
0|2021-11-17|1581.0|0|2322.0|0|3.0|0|0.0|100
0|2021-11-18|1586.0|0|2108.0|0|2.0|0|0.0|100
0|2021-11-19|1588.0|0|1983.0|0|2.0|0|0.0|100
0|2021-11-20|1588.0|0|1960.0|0|2.0|0|0.0|100
0|2021-11-21|1588.0|0|1960.0|0|2.0|0|0.0|100
0|2021-11-22|1592.0|0|1990.0|0|2.0|0|0.0|100
0|2021-11-23|1637.0|0|2019.0|0|2.0|0|0.0|100
0|2021-11-24|1636.0|0|2005.0|0|2.0|0|0.0|100
0|2021-11-25|1636.0|0|1988.0|0|2.0|0|0.0|100
0|2021-11-26|1633.0|0|2153.0|0|2.0|0|0.0|100
0|2021-11-27|1633.0|0|2153.0|0|2.0|0|0.0|100
0|2021-11-28|1633.0|0|2153.0|0|2.0|0|0.0|100
0|2021-11-29|1637.0|0|2061.0|0|3.0|0|0.0|100
0|2021-11-30|1641.0|0|2040.0|0|4.0|0|0.0|100
0|2021-12-01|1648.0|0|2386.0|0|3.0|0|0.0|100
0|2021-12-02|1659.0|0|2200.0|0|3.0|0|0.0|100
0|2021-12-03|1660.0|0|2085.0|0|3.0|0|0.0|100
0|2021-12-04|1660.0|0|2074.0|0|3.0|0|0.0|100
0|2021-12-05|1660.0|0|2074.0|0|3.0|0|0.0|100
0|2021-12-06|1671.0|0|2646.0|0|3.0|0|0.0|100
0|2021-12-07|1677.0|0|2085.0|0|3.0|0|0.0|100
