|dates|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Gwinnett_Georgia_UnitedStates.NYT_ConfirmedCases.data|Gwinnett_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Gwinnett_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|131649.0|0|131712.0|0|1408.0|0|0.0|100
0|2021-10-18|131862.0|0|131923.0|0|1414.0|0|0.0|100
0|2021-10-19|132017.0|0|132078.0|0|1422.0|0|0.0|100
0|2021-10-20|132158.0|0|132219.0|0|1425.0|0|0.0|100
0|2021-10-21|132266.0|0|132327.0|0|1429.0|0|0.0|100
0|2021-10-22|132410.0|0|132471.0|0|1436.0|0|0.0|100
0|2021-10-23|132410.0|0|132471.0|0|1436.0|0|0.0|100
0|2021-10-24|132410.0|0|132471.0|0|1436.0|0|0.0|100
0|2021-10-25|132598.0|0|132659.0|0|1438.0|0|0.0|100
0|2021-10-26|132737.0|0|132798.0|0|1446.0|0|0.0|100
0|2021-10-27|132879.0|0|132940.0|0|1448.0|0|0.0|100
0|2021-10-28|133024.0|0|133085.0|0|1452.0|0|0.0|100
0|2021-10-29|133120.0|0|133181.0|0|1454.0|0|0.0|100
0|2021-10-30|133120.0|0|133181.0|0|1454.0|0|0.0|100
0|2021-10-31|133120.0|0|133181.0|0|1454.0|0|0.0|100
0|2021-11-01|133346.0|0|133407.0|0|1458.0|0|0.0|100
0|2021-11-02|133448.0|0|133509.0|0|1463.0|0|0.0|100
0|2021-11-03|133530.0|0|133591.0|0|1463.0|0|0.0|100
0|2021-11-04|133669.0|0|133730.0|0|1466.0|0|0.0|100
0|2021-11-05|133744.0|0|133805.0|0|1472.0|0|0.0|100
0|2021-11-06|133744.0|0|133805.0|0|1472.0|0|0.0|100
0|2021-11-07|133744.0|0|133805.0|0|1472.0|0|0.0|100
0|2021-11-08|133744.0|0|133810.0|0|1472.0|0|0.0|100
0|2021-11-09|134060.0|0|134126.0|0|1484.0|0|0.0|100
0|2021-11-10|134060.0|0|134227.0|0|1484.0|0|0.0|100
0|2021-11-11|134161.0|0|134227.0|0|1488.0|0|0.0|100
0|2021-11-12|134369.0|0|134435.0|0|1491.0|0|0.0|100
0|2021-11-13|134369.0|0|134435.0|0|1491.0|0|0.0|100
0|2021-11-14|134369.0|0|134435.0|0|1491.0|0|0.0|100
0|2021-11-15|134630.0|0|134698.0|0|1491.0|0|0.0|100
0|2021-11-16|134832.0|0|134900.0|0|1493.0|0|0.0|100
0|2021-11-17|134948.0|0|135016.0|0|1505.0|0|0.0|100
0|2021-11-18|135128.0|0|135196.0|0|1506.0|0|0.0|100
0|2021-11-19|135293.0|0|135361.0|0|1511.0|0|0.0|100
0|2021-11-20|135293.0|0|135361.0|0|1511.0|0|0.0|100
0|2021-11-21|135293.0|0|135361.0|0|1511.0|0|0.0|100
0|2021-11-22|135525.0|0|135598.0|0|1512.0|0|0.0|100
0|2021-11-23|135693.0|0|135766.0|0|1515.0|0|0.0|100
0|2021-11-24|135784.0|0|135857.0|0|1519.0|0|0.0|100
0|2021-11-25|135784.0|0|135857.0|0|1519.0|0|0.0|100
0|2021-11-26|135784.0|0|135857.0|0|1519.0|0|0.0|100
0|2021-11-27|135784.0|0|135857.0|0|1519.0|0|0.0|100
0|2021-11-28|135784.0|0|135857.0|0|1519.0|0|0.0|100
0|2021-11-29|136166.0|0|136239.0|0|1522.0|0|0.0|100
0|2021-11-30|136327.0|0|136400.0|0|1522.0|0|0.0|100
0|2021-12-01|136472.0|0|136545.0|0|1524.0|0|0.0|100
0|2021-12-02|136472.0|0|136688.0|0|1524.0|0|0.0|100
0|2021-12-03|136729.0|0|136802.0|0|1529.0|0|0.0|100
0|2021-12-04|136729.0|0|136802.0|0|1529.0|0|0.0|100
0|2021-12-05|136729.0|0|136802.0|0|1529.0|0|0.0|100
0|2021-12-06|137010.0|0|137082.0|0|1531.0|0|0.0|100
0|2021-12-07|137119.0|0|137191.0|0|1533.0|0|0.0|100
0|2021-12-08|137412.0|0|137484.0|0|1536.0|0|0.0|100
0|2021-12-09|137591.0|0|137663.0|0|1539.0|0|0.0|100
0|2021-12-10|137788.0|0|137860.0|0|1539.0|0|0.0|100
0|2021-12-11|137788.0|0|137860.0|0|1539.0|0|0.0|100
0|2021-12-12|137788.0|0|137860.0|0|1539.0|0|0.0|100
0|2021-12-13|138072.0|0|138144.0|0|1542.0|0|0.0|100
0|2021-12-14|138072.0|0|138321.0|0|1542.0|0|0.0|100
0|2021-12-15|138477.0|0|138549.0|0|1547.0|0|0.0|100
