|dates|Wayne_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Wayne_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Wayne_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Wayne_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2870.0|0|3461.0|0|55.0|0|0.0|100
0|2021-10-18|2879.0|0|3461.0|0|55.0|0|0.0|100
0|2021-10-19|2895.0|0|3474.0|0|55.0|0|0.0|100
0|2021-10-20|2903.0|0|3480.0|0|55.0|0|0.0|100
0|2021-10-21|2911.0|0|3496.0|0|55.0|0|0.0|100
0|2021-10-22|2924.0|0|3496.0|0|55.0|0|0.0|100
0|2021-10-23|2924.0|0|3500.0|0|55.0|0|0.0|100
0|2021-10-24|2924.0|0|3500.0|0|55.0|0|0.0|100
0|2021-10-25|2941.0|0|3519.0|0|55.0|0|0.0|100
0|2021-10-26|2940.0|0|3532.0|0|55.0|0|0.0|100
0|2021-10-27|2956.0|0|3532.0|0|55.0|0|0.0|100
0|2021-10-28|2962.0|0|3548.0|0|55.0|0|0.0|100
0|2021-10-29|2965.0|0|3548.0|0|56.0|0|0.0|100
0|2021-10-30|2965.0|0|3549.0|0|56.0|0|0.0|100
0|2021-10-31|2965.0|0|3549.0|0|56.0|0|0.0|100
0|2021-11-01|2973.0|0|3552.0|0|57.0|0|0.0|100
0|2021-11-02|2973.0|0|3552.0|0|57.0|0|0.0|100
0|2021-11-03|2980.0|0|3561.0|0|57.0|0|0.0|100
0|2021-11-04|2986.0|0|3564.0|0|57.0|0|0.0|100
0|2021-11-05|2994.0|0|3570.0|0|57.0|0|0.0|100
0|2021-11-06|2994.0|0|3570.0|0|57.0|0|0.0|100
0|2021-11-07|2994.0|0|3570.0|0|57.0|0|0.0|100
0|2021-11-08|3039.0|0|3570.0|0|57.0|0|0.0|100
0|2021-11-09|3045.0|0|3577.0|0|58.0|0|0.0|100
0|2021-11-10|3045.0|0|3582.0|0|58.0|0|0.0|100
0|2021-11-11|3060.0|0|3587.0|0|58.0|0|0.0|100
0|2021-11-12|3113.0|0|3587.0|0|59.0|0|0.0|100
0|2021-11-13|3113.0|0|3597.0|0|59.0|0|0.0|100
