|dates|Laurel_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Laurel_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Laurel_Kentucky_UnitedStates.Male_Total_Population.data|Laurel_Kentucky_UnitedStates.Male_Total_Population.missing|Laurel_Kentucky_UnitedStates.Female_Total_Population.data|Laurel_Kentucky_UnitedStates.Female_Total_Population.missing|Laurel_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Laurel_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-18|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-19|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-20|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-21|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-22|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-23|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-24|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-25|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-26|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-27|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-28|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-29|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-30|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-10-31|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-01|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-02|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-03|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-04|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-05|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-06|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-07|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-08|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-09|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-10|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-11|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-12|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-13|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-14|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-15|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-16|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-17|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-18|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-19|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-20|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-21|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-22|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-23|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-24|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-25|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-26|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-27|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-28|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-29|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-11-30|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-01|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-02|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-03|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-04|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-05|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-06|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-07|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-08|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-09|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-10|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-11|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-12|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-13|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-14|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-15|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-16|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-17|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-18|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-19|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-20|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-21|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-22|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-23|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-24|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-25|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-26|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-27|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-28|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-29|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-30|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2021-12-31|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-01|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-02|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-03|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-04|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-05|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-06|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-07|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-08|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-09|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-10|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-11|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-12|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-13|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-14|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-15|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-16|9921.0|0|29725.0|0|30944.0|0|14052.0|0
0|2022-01-17|9921.0|0|29725.0|0|30944.0|0|14052.0|0
