|dates|Trinity_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Trinity_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Trinity_Texas_UnitedStates.Male_Total_Population.data|Trinity_Texas_UnitedStates.Male_Total_Population.missing|Trinity_Texas_UnitedStates.Female_Total_Population.data|Trinity_Texas_UnitedStates.Female_Total_Population.missing|Trinity_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Trinity_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-18|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-19|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-20|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-21|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-22|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-23|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-24|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-25|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-26|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-27|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-28|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-29|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-30|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-10-31|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-01|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-02|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-03|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-04|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-05|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-06|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-07|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-08|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-09|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-10|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-11|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-12|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-13|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-14|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-15|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-16|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-17|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-18|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-19|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-20|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-21|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-22|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-23|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-24|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-25|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-26|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-27|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-28|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-29|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-11-30|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-01|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-02|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-03|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-04|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-05|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-06|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-07|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-08|3921.0|0|7105.0|0|7635.0|0|2954.0|0
0|2021-12-09|3921.0|0|7105.0|0|7635.0|0|2954.0|0
