|dates|Lubbock_Texas_UnitedStates.JHU_ConfirmedCases.data|Lubbock_Texas_UnitedStates.JHU_ConfirmedCases.missing|Lubbock_Texas_UnitedStates.NYT_ConfirmedCases.data|Lubbock_Texas_UnitedStates.NYT_ConfirmedCases.missing|Lubbock_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Lubbock_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Lubbock_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Lubbock_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|64867.0|0|64867.0|0|975.0|0|0.0|100
0|2021-10-18|64867.0|0|65031.0|0|976.0|0|0.0|100
0|2021-10-19|65031.0|0|65109.0|0|983.0|0|0.0|100
0|2021-10-20|65109.0|0|65182.0|0|985.0|0|0.0|100
0|2021-10-21|65182.0|0|65264.0|0|988.0|0|0.0|100
0|2021-10-22|65264.0|0|65334.0|0|991.0|0|0.0|100
0|2021-10-23|65334.0|0|65334.0|0|993.0|0|0.0|100
0|2021-10-24|65334.0|0|65334.0|0|994.0|0|0.0|100
0|2021-10-25|65334.0|0|65475.0|0|994.0|0|0.0|100
0|2021-10-26|65475.0|0|65475.0|0|998.0|0|0.0|100
0|2021-10-27|65475.0|0|65639.0|0|1000.0|0|0.0|100
0|2021-10-28|65639.0|0|65710.0|0|1002.0|0|0.0|100
0|2021-10-29|65710.0|0|65756.0|0|1003.0|0|0.0|100
0|2021-10-30|65756.0|0|65756.0|0|1004.0|0|0.0|100
0|2021-10-31|65756.0|0|65756.0|0|1004.0|0|0.0|100
0|2021-11-01|65756.0|0|65862.0|0|1004.0|0|0.0|100
0|2021-11-02|65862.0|0|65929.0|0|1006.0|0|0.0|100
0|2021-11-03|65929.0|0|65974.0|0|1009.0|0|0.0|100
0|2021-11-04|65974.0|0|66043.0|0|1014.0|0|0.0|100
0|2021-11-05|66043.0|0|66091.0|0|1014.0|0|0.0|100
0|2021-11-06|66091.0|0|66091.0|0|1014.0|0|0.0|100
0|2021-11-07|66091.0|0|66091.0|0|1014.0|0|0.0|100
0|2021-11-08|66091.0|0|66283.0|0|1014.0|0|0.0|100
0|2021-11-09|66283.0|0|66349.0|0|1015.0|0|0.0|100
0|2021-11-10|66283.0|0|66379.0|0|1015.0|0|0.0|100
0|2021-11-11|66379.0|0|66465.0|0|1020.0|0|0.0|100
0|2021-11-12|66465.0|0|66514.0|0|1029.0|0|0.0|100
0|2021-11-13|66514.0|0|66514.0|0|1031.0|0|0.0|100
0|2021-11-14|66514.0|0|66514.0|0|1031.0|0|0.0|100
0|2021-11-15|66514.0|0|66686.0|0|1031.0|0|0.0|100
0|2021-11-16|66686.0|0|66773.0|0|1032.0|0|0.0|100
0|2021-11-17|66773.0|0|66895.0|0|1032.0|0|0.0|100
0|2021-11-18|66895.0|0|66962.0|0|1035.0|0|0.0|100
0|2021-11-19|66962.0|0|67049.0|0|1035.0|0|0.0|100
0|2021-11-20|67049.0|0|67049.0|0|1035.0|0|0.0|100
0|2021-11-21|67049.0|0|67049.0|0|1037.0|0|0.0|100
0|2021-11-22|67049.0|0|67209.0|0|1037.0|0|0.0|100
0|2021-11-23|67209.0|0|67301.0|0|1041.0|0|0.0|100
0|2021-11-24|67301.0|0|67465.0|0|1042.0|0|0.0|100
0|2021-11-25|67301.0|0|67465.0|0|1042.0|0|0.0|100
0|2021-11-26|67301.0|0|67465.0|0|1042.0|0|0.0|100
0|2021-11-27|67301.0|0|67465.0|0|1042.0|0|0.0|100
0|2021-11-28|67301.0|0|67465.0|0|1042.0|0|0.0|100
0|2021-11-29|67465.0|0|67876.0|0|1047.0|0|0.0|100
0|2021-11-30|67876.0|0|67996.0|0|1049.0|0|0.0|100
0|2021-12-01|67928.0|0|68182.0|0|1050.0|0|0.0|100
0|2021-12-02|68031.0|0|68348.0|0|1055.0|0|0.0|100
0|2021-12-03|68135.0|0|68477.0|0|1055.0|0|0.0|100
0|2021-12-04|68210.0|0|68477.0|0|1058.0|0|0.0|100
0|2021-12-05|68248.0|0|68477.0|0|1061.0|0|0.0|100
0|2021-12-06|68278.0|0|68713.0|0|1061.0|0|0.0|100
0|2021-12-07|68371.0|0|68812.0|0|1062.0|0|0.0|100
0|2021-12-08|68421.0|0|68903.0|0|1063.0|0|0.0|100
0|2021-12-09|68469.0|0|69028.0|0|1063.0|0|0.0|100
0|2021-12-10|68941.0|0|69208.0|0|1065.0|0|0.0|100
0|2021-12-11|69046.0|0|69208.0|0|1066.0|0|0.0|100
