|dates|VanZandt_Texas_UnitedStates.JHU_ConfirmedCases.data|VanZandt_Texas_UnitedStates.JHU_ConfirmedCases.missing|VanZandt_Texas_UnitedStates.NYT_ConfirmedCases.data|VanZandt_Texas_UnitedStates.NYT_ConfirmedCases.missing|VanZandt_Texas_UnitedStates.JHU_ConfirmedDeaths.data|VanZandt_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|VanZandt_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|VanZandt_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7857.0|0|7857.0|0|203.0|0|0.0|100
0|2021-10-18|7857.0|0|7857.0|0|203.0|0|0.0|100
0|2021-10-19|7896.0|0|7896.0|0|205.0|0|0.0|100
0|2021-10-20|7896.0|0|7896.0|0|207.0|0|0.0|100
0|2021-10-21|7896.0|0|7896.0|0|207.0|0|0.0|100
0|2021-10-22|7896.0|0|7896.0|0|207.0|0|0.0|100
0|2021-10-23|7896.0|0|7896.0|0|208.0|0|0.0|100
0|2021-10-24|7931.0|0|7931.0|0|208.0|0|0.0|100
0|2021-10-25|7931.0|0|7931.0|0|208.0|0|0.0|100
0|2021-10-26|8011.0|0|8011.0|0|209.0|0|0.0|100
0|2021-10-27|8011.0|0|8011.0|0|209.0|0|0.0|100
0|2021-10-28|8011.0|0|8011.0|0|210.0|0|0.0|100
0|2021-10-29|8054.0|0|8054.0|0|211.0|0|0.0|100
0|2021-10-30|8054.0|0|8054.0|0|212.0|0|0.0|100
0|2021-10-31|8054.0|0|8054.0|0|213.0|0|0.0|100
0|2021-11-01|8054.0|0|8054.0|0|213.0|0|0.0|100
0|2021-11-02|8069.0|0|8069.0|0|214.0|0|0.0|100
0|2021-11-03|8069.0|0|8069.0|0|215.0|0|0.0|100
0|2021-11-04|8069.0|0|8069.0|0|216.0|0|0.0|100
0|2021-11-05|8088.0|0|8088.0|0|216.0|0|0.0|100
0|2021-11-06|8088.0|0|8088.0|0|216.0|0|0.0|100
0|2021-11-07|8088.0|0|8088.0|0|216.0|0|0.0|100
0|2021-11-08|8088.0|0|8088.0|0|216.0|0|0.0|100
0|2021-11-09|8126.0|0|8126.0|0|216.0|0|0.0|100
0|2021-11-10|8126.0|0|8126.0|0|216.0|0|0.0|100
0|2021-11-11|8126.0|0|8126.0|0|216.0|0|0.0|100
0|2021-11-12|8145.0|0|8145.0|0|220.0|0|0.0|100
0|2021-11-13|8145.0|0|8145.0|0|220.0|0|0.0|100
