|dates|Charleston_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Charleston_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Charleston_SouthCarolina_UnitedStates.Male_Total_Population.data|Charleston_SouthCarolina_UnitedStates.Male_Total_Population.missing|Charleston_SouthCarolina_UnitedStates.Female_Total_Population.data|Charleston_SouthCarolina_UnitedStates.Female_Total_Population.missing|Charleston_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Charleston_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-18|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-19|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-20|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-21|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-22|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-23|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-24|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-25|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-26|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-27|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-28|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-29|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-30|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-10-31|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-01|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-02|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-03|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-04|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-05|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-06|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-07|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-08|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-09|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-10|66621.0|0|196403.0|0|209502.0|0|79933.0|0
0|2021-11-11|66621.0|0|196403.0|0|209502.0|0|79933.0|0
