|dates|Leon_Texas_UnitedStates.JHU_ConfirmedCases.data|Leon_Texas_UnitedStates.JHU_ConfirmedCases.missing|Leon_Texas_UnitedStates.NYT_ConfirmedCases.data|Leon_Texas_UnitedStates.NYT_ConfirmedCases.missing|Leon_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Leon_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Leon_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Leon_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2434.0|0|2434.0|0|65.0|0|0.0|100
0|2021-10-18|2437.0|0|2437.0|0|65.0|0|0.0|100
0|2021-10-19|2439.0|0|2439.0|0|65.0|0|0.0|100
0|2021-10-20|2441.0|0|2441.0|0|65.0|0|0.0|100
0|2021-10-21|2442.0|0|2442.0|0|65.0|0|0.0|100
0|2021-10-22|2443.0|0|2443.0|0|65.0|0|0.0|100
0|2021-10-23|2444.0|0|2444.0|0|65.0|0|0.0|100
0|2021-10-24|2444.0|0|2444.0|0|65.0|0|0.0|100
0|2021-10-25|2447.0|0|2447.0|0|65.0|0|0.0|100
0|2021-10-26|2447.0|0|2447.0|0|65.0|0|0.0|100
0|2021-10-27|2447.0|0|2447.0|0|66.0|0|0.0|100
0|2021-10-28|2447.0|0|2447.0|0|69.0|0|0.0|100
0|2021-10-29|2448.0|0|2448.0|0|69.0|0|0.0|100
0|2021-10-30|2449.0|0|2449.0|0|69.0|0|0.0|100
0|2021-10-31|2449.0|0|2449.0|0|69.0|0|0.0|100
0|2021-11-01|2451.0|0|2451.0|0|69.0|0|0.0|100
0|2021-11-02|2453.0|0|2453.0|0|69.0|0|0.0|100
0|2021-11-03|2454.0|0|2454.0|0|69.0|0|0.0|100
0|2021-11-04|2455.0|0|2455.0|0|69.0|0|0.0|100
0|2021-11-05|2455.0|0|2455.0|0|69.0|0|0.0|100
0|2021-11-06|2455.0|0|2455.0|0|69.0|0|0.0|100
0|2021-11-07|2455.0|0|2455.0|0|69.0|0|0.0|100
0|2021-11-08|2458.0|0|2458.0|0|69.0|0|0.0|100
0|2021-11-09|2458.0|0|2458.0|0|69.0|0|0.0|100
0|2021-11-10|2458.0|0|2458.0|0|69.0|0|0.0|100
0|2021-11-11|2463.0|0|2463.0|0|69.0|0|0.0|100
0|2021-11-12|2463.0|0|2463.0|0|69.0|0|0.0|100
0|2021-11-13|2463.0|0|2463.0|0|69.0|0|0.0|100
0|2021-11-14|2464.0|0|2464.0|0|69.0|0|0.0|100
0|2021-11-15|2464.0|0|2464.0|0|69.0|0|0.0|100
