|dates|Pike_Indiana_UnitedStates.JHU_ConfirmedCases.data|Pike_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Pike_Indiana_UnitedStates.NYT_ConfirmedCases.data|Pike_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Pike_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2273.0|0|2274.0|0|43.0|0|0.0|100
0|2021-10-18|2279.0|0|2280.0|0|43.0|0|0.0|100
0|2021-10-19|2281.0|0|2282.0|0|43.0|0|0.0|100
0|2021-10-20|2284.0|0|2285.0|0|43.0|0|0.0|100
0|2021-10-21|2288.0|0|2289.0|0|43.0|0|0.0|100
0|2021-10-22|2292.0|0|2293.0|0|43.0|0|0.0|100
0|2021-10-23|2292.0|0|2293.0|0|43.0|0|0.0|100
0|2021-10-24|2292.0|0|2293.0|0|43.0|0|0.0|100
0|2021-10-25|2296.0|0|2297.0|0|43.0|0|0.0|100
0|2021-10-26|2297.0|0|2298.0|0|44.0|0|0.0|100
0|2021-10-27|2300.0|0|2301.0|0|44.0|0|0.0|100
0|2021-10-28|2303.0|0|2304.0|0|44.0|0|0.0|100
0|2021-10-29|2306.0|0|2307.0|0|44.0|0|0.0|100
0|2021-10-30|2306.0|0|2307.0|0|44.0|0|0.0|100
0|2021-10-31|2306.0|0|2307.0|0|44.0|0|0.0|100
0|2021-11-01|2312.0|0|2313.0|0|44.0|0|0.0|100
0|2021-11-02|2313.0|0|2314.0|0|44.0|0|0.0|100
0|2021-11-03|2312.0|0|2313.0|0|44.0|0|0.0|100
0|2021-11-04|2315.0|0|2316.0|0|44.0|0|0.0|100
0|2021-11-05|2317.0|0|2318.0|0|44.0|0|0.0|100
0|2021-11-06|2317.0|0|2318.0|0|44.0|0|0.0|100
0|2021-11-07|2317.0|0|2318.0|0|44.0|0|0.0|100
0|2021-11-08|2321.0|0|2322.0|0|44.0|0|0.0|100
0|2021-11-09|2321.0|0|2322.0|0|44.0|0|0.0|100
0|2021-11-10|2326.0|0|2327.0|0|44.0|0|0.0|100
0|2021-11-11|2347.0|0|2348.0|0|44.0|0|0.0|100
0|2021-11-12|2350.0|0|2351.0|0|44.0|0|0.0|100
0|2021-11-13|2350.0|0|2351.0|0|44.0|0|0.0|100
0|2021-11-14|2350.0|0|2351.0|0|44.0|0|0.0|100
0|2021-11-15|2358.0|0|2359.0|0|44.0|0|0.0|100
0|2021-11-16|2361.0|0|2362.0|0|44.0|0|0.0|100
