|dates|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Chatham_Georgia_UnitedStates.NYT_ConfirmedCases.data|Chatham_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Chatham_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|38189.0|0|38363.0|0|655.0|0|0.0|100
0|2021-10-18|38227.0|0|38401.0|0|663.0|0|0.0|100
0|2021-10-19|38246.0|0|38420.0|0|663.0|0|0.0|100
0|2021-10-20|38276.0|0|38450.0|0|667.0|0|0.0|100
0|2021-10-21|38296.0|0|38470.0|0|668.0|0|0.0|100
0|2021-10-22|38319.0|0|38493.0|0|676.0|0|0.0|100
0|2021-10-23|38319.0|0|38493.0|0|676.0|0|0.0|100
0|2021-10-24|38319.0|0|38493.0|0|676.0|0|0.0|100
0|2021-10-25|38376.0|0|38479.0|0|681.0|0|0.0|100
0|2021-10-26|38397.0|0|38500.0|0|682.0|0|0.0|100
0|2021-10-27|38420.0|0|38523.0|0|684.0|0|0.0|100
0|2021-10-28|38447.0|0|38550.0|0|684.0|0|0.0|100
0|2021-10-29|38478.0|0|38581.0|0|685.0|0|0.0|100
0|2021-10-30|38478.0|0|38581.0|0|685.0|0|0.0|100
0|2021-10-31|38478.0|0|38581.0|0|685.0|0|0.0|100
0|2021-11-01|38551.0|0|38654.0|0|689.0|0|0.0|100
0|2021-11-02|38574.0|0|38677.0|0|692.0|0|0.0|100
0|2021-11-03|38601.0|0|38704.0|0|694.0|0|0.0|100
0|2021-11-04|38661.0|0|38764.0|0|698.0|0|0.0|100
0|2021-11-05|38694.0|0|38797.0|0|698.0|0|0.0|100
0|2021-11-06|38694.0|0|38797.0|0|698.0|0|0.0|100
0|2021-11-07|38694.0|0|38797.0|0|698.0|0|0.0|100
0|2021-11-08|38694.0|0|38796.0|0|698.0|0|0.0|100
