|dates|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Charleston_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Charleston_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Charleston_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|64400.0|0|64400.0|0|684.0|0|0.0|100
0|2021-10-18|64602.0|0|64602.0|0|688.0|0|0.0|100
0|2021-10-19|64634.0|0|64634.0|0|688.0|0|0.0|100
0|2021-10-20|64681.0|0|64681.0|0|692.0|0|0.0|100
0|2021-10-21|64747.0|0|64747.0|0|694.0|0|0.0|100
0|2021-10-22|64816.0|0|64816.0|0|697.0|0|0.0|100
0|2021-10-23|64816.0|0|64816.0|0|697.0|0|0.0|100
0|2021-10-24|64816.0|0|64816.0|0|697.0|0|0.0|100
0|2021-10-25|65026.0|0|65026.0|0|703.0|0|0.0|100
0|2021-10-26|65048.0|0|65048.0|0|703.0|0|0.0|100
0|2021-10-27|65089.0|0|65089.0|0|708.0|0|0.0|100
0|2021-10-28|65143.0|0|65143.0|0|712.0|0|0.0|100
0|2021-10-29|65233.0|0|65233.0|0|713.0|0|0.0|100
0|2021-10-30|65233.0|0|65233.0|0|713.0|0|0.0|100
0|2021-10-31|65233.0|0|65233.0|0|713.0|0|0.0|100
0|2021-11-01|65382.0|0|65382.0|0|716.0|0|0.0|100
0|2021-11-02|65408.0|0|65408.0|0|717.0|0|0.0|100
0|2021-11-03|65430.0|0|65430.0|0|720.0|0|0.0|100
0|2021-11-04|65480.0|0|65480.0|0|720.0|0|0.0|100
0|2021-11-05|65544.0|0|65544.0|0|720.0|0|0.0|100
0|2021-11-06|65544.0|0|65544.0|0|720.0|0|0.0|100
0|2021-11-07|65544.0|0|65544.0|0|720.0|0|0.0|100
0|2021-11-08|65710.0|0|65710.0|0|720.0|0|0.0|100
0|2021-11-09|65731.0|0|65731.0|0|721.0|0|0.0|100
0|2021-11-10|65738.0|0|65738.0|0|724.0|0|0.0|100
0|2021-11-11|65738.0|0|65738.0|0|724.0|0|0.0|100
0|2021-11-12|65862.0|0|65862.0|0|726.0|0|0.0|100
0|2021-11-13|65862.0|0|65862.0|0|726.0|0|0.0|100
0|2021-11-14|65862.0|0|65862.0|0|726.0|0|0.0|100
0|2021-11-15|66006.0|0|66006.0|0|727.0|0|0.0|100
0|2021-11-16|66039.0|0|66039.0|0|727.0|0|0.0|100
0|2021-11-17|66071.0|0|66071.0|0|728.0|0|0.0|100
0|2021-11-18|66122.0|0|66122.0|0|728.0|0|0.0|100
0|2021-11-19|66186.0|0|66186.0|0|730.0|0|0.0|100
0|2021-11-20|66186.0|0|66186.0|0|730.0|0|0.0|100
0|2021-11-21|66186.0|0|66186.0|0|730.0|0|0.0|100
