|dates|Montezuma_Colorado_UnitedStates.JHU_ConfirmedCases.data|Montezuma_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Montezuma_Colorado_UnitedStates.NYT_ConfirmedCases.data|Montezuma_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Montezuma_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Montezuma_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Montezuma_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Montezuma_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2927.0|0|2927.0|0|36.0|0|0.0|100
0|2021-10-18|2971.0|0|2971.0|0|36.0|0|0.0|100
0|2021-10-19|2988.0|0|2988.0|0|36.0|0|0.0|100
0|2021-10-20|3031.0|0|3031.0|0|36.0|0|0.0|100
0|2021-10-21|3059.0|0|3059.0|0|36.0|0|0.0|100
0|2021-10-22|3095.0|0|3095.0|0|37.0|0|0.0|100
0|2021-10-23|3095.0|0|3095.0|0|37.0|0|0.0|100
0|2021-10-24|3095.0|0|3095.0|0|37.0|0|0.0|100
0|2021-10-25|3172.0|0|3172.0|0|37.0|0|0.0|100
0|2021-10-26|3181.0|0|3181.0|0|37.0|0|0.0|100
0|2021-10-27|3234.0|0|3234.0|0|37.0|0|0.0|100
0|2021-10-28|3250.0|0|3250.0|0|37.0|0|0.0|100
0|2021-10-29|3303.0|0|3303.0|0|37.0|0|0.0|100
0|2021-10-30|3303.0|0|3303.0|0|37.0|0|0.0|100
0|2021-10-31|3303.0|0|3303.0|0|37.0|0|0.0|100
0|2021-11-01|3374.0|0|3374.0|0|37.0|0|0.0|100
0|2021-11-02|3383.0|0|3383.0|0|37.0|0|0.0|100
0|2021-11-03|3405.0|0|3405.0|0|37.0|0|0.0|100
0|2021-11-04|3451.0|0|3451.0|0|37.0|0|0.0|100
0|2021-11-05|3477.0|0|3477.0|0|37.0|0|0.0|100
0|2021-11-06|3477.0|0|3477.0|0|37.0|0|0.0|100
0|2021-11-07|3477.0|0|3477.0|0|37.0|0|0.0|100
0|2021-11-08|3530.0|0|3530.0|0|40.0|0|0.0|100
0|2021-11-09|3539.0|0|3539.0|0|40.0|0|0.0|100
0|2021-11-10|3539.0|0|3570.0|0|40.0|0|0.0|100
0|2021-11-11|3598.0|0|3598.0|0|41.0|0|0.0|100
0|2021-11-12|3632.0|0|3632.0|0|41.0|0|0.0|100
0|2021-11-13|3632.0|0|3632.0|0|41.0|0|0.0|100
0|2021-11-14|3632.0|0|3632.0|0|41.0|0|0.0|100
0|2021-11-15|3672.0|0|3672.0|0|41.0|0|0.0|100
0|2021-11-16|3673.0|0|3673.0|0|42.0|0|0.0|100
0|2021-11-17|3685.0|0|3685.0|0|42.0|0|0.0|100
0|2021-11-18|3720.0|0|3720.0|0|44.0|0|0.0|100
0|2021-11-19|3750.0|0|3750.0|0|44.0|0|0.0|100
0|2021-11-20|3750.0|0|3750.0|0|44.0|0|0.0|100
0|2021-11-21|3750.0|0|3750.0|0|44.0|0|0.0|100
0|2021-11-22|3791.0|0|3791.0|0|45.0|0|0.0|100
0|2021-11-23|3801.0|0|3801.0|0|46.0|0|0.0|100
0|2021-11-24|3840.0|0|3840.0|0|47.0|0|0.0|100
0|2021-11-25|3853.0|0|3853.0|0|47.0|0|0.0|100
0|2021-11-26|3865.0|0|3853.0|0|47.0|0|0.0|100
0|2021-11-27|3865.0|0|3853.0|0|47.0|0|0.0|100
0|2021-11-28|3865.0|0|3865.0|0|47.0|0|0.0|100
0|2021-11-29|3895.0|0|3895.0|0|48.0|0|0.0|100
0|2021-11-30|3898.0|0|3898.0|0|48.0|0|0.0|100
0|2021-12-01|3898.0|0|3917.0|0|48.0|0|0.0|100
0|2021-12-02|3939.0|0|3939.0|0|48.0|0|0.0|100
0|2021-12-03|3947.0|0|3943.0|0|48.0|0|0.0|100
0|2021-12-04|3947.0|0|3947.0|0|48.0|0|0.0|100
0|2021-12-05|3947.0|0|3947.0|0|48.0|0|0.0|100
0|2021-12-06|3990.0|0|3990.0|0|48.0|0|0.0|100
0|2021-12-07|3997.0|0|3997.0|0|48.0|0|0.0|100
0|2021-12-08|4019.0|0|4019.0|0|48.0|0|0.0|100
0|2021-12-09|4045.0|0|4045.0|0|50.0|0|0.0|100
0|2021-12-10|4060.0|0|4060.0|0|50.0|0|0.0|100
0|2021-12-11|4060.0|0|4060.0|0|50.0|0|0.0|100
0|2021-12-12|4060.0|0|4060.0|0|50.0|0|0.0|100
0|2021-12-13|4094.0|0|4094.0|0|50.0|0|0.0|100
0|2021-12-14|4094.0|0|4098.0|0|50.0|0|0.0|100
0|2021-12-15|4121.0|0|4121.0|0|50.0|0|0.0|100
0|2021-12-16|4127.0|0|4127.0|0|51.0|0|0.0|100
0|2021-12-17|4136.0|0|4136.0|0|51.0|0|0.0|100
0|2021-12-18|4136.0|0|4136.0|0|51.0|0|0.0|100
0|2021-12-19|4136.0|0|4136.0|0|51.0|0|0.0|100
0|2021-12-20|4156.0|0|4156.0|0|52.0|0|0.0|100
0|2021-12-21|4157.0|0|4157.0|0|51.0|0|0.0|100
0|2021-12-22|4165.0|0|4165.0|0|51.0|0|0.0|100
0|2021-12-23|4173.0|0|4173.0|0|51.0|0|0.0|100
0|2021-12-24|4184.0|0|4184.0|0|52.0|0|0.0|100
0|2021-12-25|4184.0|0|4184.0|0|52.0|0|0.0|100
0|2021-12-26|4184.0|0|4184.0|0|52.0|0|0.0|100
0|2021-12-27|4194.0|0|4194.0|0|52.0|0|0.0|100
0|2021-12-28|4198.0|0|4198.0|0|53.0|0|0.0|100
0|2021-12-29|4212.0|0|4212.0|0|54.0|0|0.0|100
0|2021-12-30|4225.0|0|4225.0|0|54.0|0|0.0|100
0|2021-12-31|4231.0|0|4231.0|0|54.0|0|0.0|100
0|2022-01-01|4231.0|0|4231.0|0|54.0|0|0.0|100
0|2022-01-02|4231.0|0|4231.0|0|54.0|0|0.0|100
0|2022-01-03|4261.0|0|4261.0|0|57.0|0|0.0|100
0|2022-01-04|4267.0|0|4267.0|0|57.0|0|0.0|100
0|2022-01-05|4288.0|0|4288.0|0|57.0|0|0.0|100
0|2022-01-06|4303.0|0|4303.0|0|57.0|0|0.0|100
