|dates|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedCases.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Sedgwick_Colorado_UnitedStates.NYT_ConfirmedCases.data|Sedgwick_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Sedgwick_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|300.0|0|300.0|0|4.0|0|0.0|100
0|2021-10-18|308.0|0|308.0|0|4.0|0|0.0|100
0|2021-10-19|309.0|0|309.0|0|4.0|0|0.0|100
0|2021-10-20|311.0|0|311.0|0|4.0|0|0.0|100
0|2021-10-21|311.0|0|311.0|0|4.0|0|0.0|100
0|2021-10-22|314.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-23|314.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-24|314.0|0|314.0|0|4.0|0|0.0|100
0|2021-10-25|320.0|0|320.0|0|4.0|0|0.0|100
0|2021-10-26|323.0|0|323.0|0|4.0|0|0.0|100
0|2021-10-27|326.0|0|326.0|0|4.0|0|0.0|100
0|2021-10-28|331.0|0|331.0|0|4.0|0|0.0|100
0|2021-10-29|331.0|0|331.0|0|4.0|0|0.0|100
0|2021-10-30|331.0|0|331.0|0|4.0|0|0.0|100
0|2021-10-31|331.0|0|331.0|0|4.0|0|0.0|100
0|2021-11-01|333.0|0|333.0|0|4.0|0|0.0|100
0|2021-11-02|333.0|0|333.0|0|4.0|0|0.0|100
0|2021-11-03|333.0|0|333.0|0|4.0|0|0.0|100
0|2021-11-04|333.0|0|333.0|0|5.0|0|0.0|100
0|2021-11-05|335.0|0|335.0|0|5.0|0|0.0|100
0|2021-11-06|335.0|0|335.0|0|5.0|0|0.0|100
0|2021-11-07|335.0|0|335.0|0|5.0|0|0.0|100
