|dates|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7001.0|0|7001.0|0|115.0|0|0.0|100
0|2021-10-18|7008.0|0|7008.0|0|115.0|0|0.0|100
0|2021-10-19|7011.0|0|7011.0|0|115.0|0|0.0|100
0|2021-10-20|7016.0|0|7016.0|0|115.0|0|0.0|100
0|2021-10-21|7030.0|0|7030.0|0|115.0|0|0.0|100
0|2021-10-22|7041.0|0|7041.0|0|115.0|0|0.0|100
0|2021-10-23|7041.0|0|7041.0|0|115.0|0|0.0|100
0|2021-10-24|7041.0|0|7041.0|0|115.0|0|0.0|100
0|2021-10-25|7045.0|0|7045.0|0|115.0|0|0.0|100
0|2021-10-26|7047.0|0|7047.0|0|115.0|0|0.0|100
0|2021-10-27|7057.0|0|7057.0|0|115.0|0|0.0|100
0|2021-10-28|7060.0|0|7060.0|0|115.0|0|0.0|100
0|2021-10-29|7063.0|0|7063.0|0|115.0|0|0.0|100
0|2021-10-30|7063.0|0|7063.0|0|115.0|0|0.0|100
0|2021-10-31|7063.0|0|7063.0|0|115.0|0|0.0|100
0|2021-11-01|7078.0|0|7078.0|0|115.0|0|0.0|100
0|2021-11-02|7082.0|0|7082.0|0|115.0|0|0.0|100
0|2021-11-03|7084.0|0|7084.0|0|115.0|0|0.0|100
0|2021-11-04|7087.0|0|7087.0|0|115.0|0|0.0|100
0|2021-11-05|7088.0|0|7088.0|0|115.0|0|0.0|100
0|2021-11-06|7088.0|0|7088.0|0|115.0|0|0.0|100
0|2021-11-07|7088.0|0|7088.0|0|115.0|0|0.0|100
0|2021-11-08|7104.0|0|7104.0|0|115.0|0|0.0|100
0|2021-11-09|7112.0|0|7112.0|0|115.0|0|0.0|100
0|2021-11-10|7122.0|0|7122.0|0|116.0|0|0.0|100
0|2021-11-11|7122.0|0|7122.0|0|116.0|0|0.0|100
0|2021-11-12|7131.0|0|7131.0|0|116.0|0|0.0|100
0|2021-11-13|7131.0|0|7131.0|0|116.0|0|0.0|100
0|2021-11-14|7131.0|0|7131.0|0|116.0|0|0.0|100
0|2021-11-15|7144.0|0|7144.0|0|116.0|0|0.0|100
0|2021-11-16|7158.0|0|7158.0|0|116.0|0|0.0|100
0|2021-11-17|7162.0|0|7162.0|0|116.0|0|0.0|100
0|2021-11-18|7175.0|0|7175.0|0|116.0|0|0.0|100
0|2021-11-19|7187.0|0|7187.0|0|116.0|0|0.0|100
0|2021-11-20|7187.0|0|7187.0|0|116.0|0|0.0|100
0|2021-11-21|7187.0|0|7187.0|0|116.0|0|0.0|100
0|2021-11-22|7193.0|0|7193.0|0|116.0|0|0.0|100
0|2021-11-23|7209.0|0|7209.0|0|117.0|0|0.0|100
0|2021-11-24|7214.0|0|7214.0|0|117.0|0|0.0|100
0|2021-11-25|7214.0|0|7214.0|0|117.0|0|0.0|100
0|2021-11-26|7214.0|0|7214.0|0|117.0|0|0.0|100
0|2021-11-27|7214.0|0|7214.0|0|117.0|0|0.0|100
0|2021-11-28|7214.0|0|7214.0|0|117.0|0|0.0|100
0|2021-11-29|7234.0|0|7234.0|0|117.0|0|0.0|100
0|2021-11-30|7250.0|0|7250.0|0|117.0|0|0.0|100
0|2021-12-01|7271.0|0|7271.0|0|117.0|0|0.0|100
0|2021-12-02|7284.0|0|7284.0|0|117.0|0|0.0|100
0|2021-12-03|7289.0|0|7289.0|0|117.0|0|0.0|100
0|2021-12-04|7289.0|0|7289.0|0|117.0|0|0.0|100
0|2021-12-05|7289.0|0|7289.0|0|117.0|0|0.0|100
0|2021-12-06|7301.0|0|7301.0|0|117.0|0|0.0|100
0|2021-12-07|7305.0|0|7305.0|0|117.0|0|0.0|100
0|2021-12-08|7309.0|0|7309.0|0|117.0|0|0.0|100
0|2021-12-09|7312.0|0|7312.0|0|117.0|0|0.0|100
0|2021-12-10|7320.0|0|7320.0|0|117.0|0|0.0|100
0|2021-12-11|7320.0|0|7320.0|0|117.0|0|0.0|100
