|dates|Clermont_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clermont_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clermont_Ohio_UnitedStates.Male_Total_Population.data|Clermont_Ohio_UnitedStates.Male_Total_Population.missing|Clermont_Ohio_UnitedStates.Female_Total_Population.data|Clermont_Ohio_UnitedStates.Female_Total_Population.missing|Clermont_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Clermont_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-04|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-05|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-06|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-07|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-08|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-09|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-10|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-11|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-12|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-13|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-14|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-15|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-16|33533.0|0|101344.0|0|104122.0|0|47330.0|0
0|2022-01-17|33533.0|0|101344.0|0|104122.0|0|47330.0|0
