|dates|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Colleton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Colleton_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Colleton_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5590.0|0|5590.0|0|188.0|0|0.0|100
0|2021-10-18|5598.0|0|5598.0|0|188.0|0|0.0|100
0|2021-10-19|5600.0|0|5600.0|0|188.0|0|0.0|100
0|2021-10-20|5603.0|0|5603.0|0|188.0|0|0.0|100
0|2021-10-21|5606.0|0|5606.0|0|188.0|0|0.0|100
0|2021-10-22|5611.0|0|5611.0|0|188.0|0|0.0|100
0|2021-10-23|5611.0|0|5611.0|0|188.0|0|0.0|100
0|2021-10-24|5611.0|0|5611.0|0|188.0|0|0.0|100
0|2021-10-25|5616.0|0|5616.0|0|189.0|0|0.0|100
0|2021-10-26|5616.0|0|5616.0|0|189.0|0|0.0|100
0|2021-10-27|5617.0|0|5617.0|0|189.0|0|0.0|100
0|2021-10-28|5619.0|0|5619.0|0|190.0|0|0.0|100
0|2021-10-29|5624.0|0|5624.0|0|190.0|0|0.0|100
0|2021-10-30|5624.0|0|5624.0|0|190.0|0|0.0|100
0|2021-10-31|5624.0|0|5624.0|0|190.0|0|0.0|100
0|2021-11-01|5632.0|0|5632.0|0|190.0|0|0.0|100
0|2021-11-02|5632.0|0|5632.0|0|190.0|0|0.0|100
0|2021-11-03|5632.0|0|5632.0|0|190.0|0|0.0|100
0|2021-11-04|5633.0|0|5633.0|0|190.0|0|0.0|100
0|2021-11-05|5640.0|0|5640.0|0|190.0|0|0.0|100
0|2021-11-06|5640.0|0|5640.0|0|190.0|0|0.0|100
0|2021-11-07|5640.0|0|5640.0|0|190.0|0|0.0|100
0|2021-11-08|5644.0|0|5644.0|0|190.0|0|0.0|100
0|2021-11-09|5645.0|0|5645.0|0|190.0|0|0.0|100
0|2021-11-10|5651.0|0|5651.0|0|190.0|0|0.0|100
0|2021-11-11|5651.0|0|5651.0|0|190.0|0|0.0|100
0|2021-11-12|5653.0|0|5653.0|0|190.0|0|0.0|100
0|2021-11-13|5653.0|0|5653.0|0|190.0|0|0.0|100
0|2021-11-14|5653.0|0|5653.0|0|190.0|0|0.0|100
0|2021-11-15|5657.0|0|5657.0|0|190.0|0|0.0|100
0|2021-11-16|5658.0|0|5658.0|0|190.0|0|0.0|100
0|2021-11-17|5659.0|0|5659.0|0|190.0|0|0.0|100
0|2021-11-18|5662.0|0|5662.0|0|190.0|0|0.0|100
0|2021-11-19|5671.0|0|5671.0|0|190.0|0|0.0|100
0|2021-11-20|5671.0|0|5671.0|0|190.0|0|0.0|100
0|2021-11-21|5671.0|0|5671.0|0|190.0|0|0.0|100
0|2021-11-22|5695.0|0|5695.0|0|190.0|0|0.0|100
0|2021-11-23|5698.0|0|5698.0|0|190.0|0|0.0|100
0|2021-11-24|5701.0|0|5701.0|0|190.0|0|0.0|100
0|2021-11-25|5701.0|0|5701.0|0|190.0|0|0.0|100
0|2021-11-26|5701.0|0|5702.0|0|190.0|0|0.0|100
0|2021-11-27|5702.0|0|5702.0|0|190.0|0|0.0|100
0|2021-11-28|5702.0|0|5702.0|0|190.0|0|0.0|100
0|2021-11-29|5708.0|0|5708.0|0|190.0|0|0.0|100
0|2021-11-30|5723.0|0|5723.0|0|190.0|0|0.0|100
0|2021-12-01|5726.0|0|5726.0|0|190.0|0|0.0|100
0|2021-12-02|5733.0|0|5733.0|0|190.0|0|0.0|100
0|2021-12-03|5742.0|0|5742.0|0|190.0|0|0.0|100
0|2021-12-04|5742.0|0|5742.0|0|190.0|0|0.0|100
0|2021-12-05|5742.0|0|5742.0|0|190.0|0|0.0|100
0|2021-12-06|5762.0|0|5762.0|0|190.0|0|0.0|100
0|2021-12-07|5771.0|0|5771.0|0|190.0|0|0.0|100
0|2021-12-08|5771.0|0|5771.0|0|190.0|0|0.0|100
0|2021-12-09|5777.0|0|5777.0|0|190.0|0|0.0|100
