|dates|Parke_Indiana_UnitedStates.JHU_ConfirmedCases.data|Parke_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Parke_Indiana_UnitedStates.NYT_ConfirmedCases.data|Parke_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Parke_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Parke_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Parke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Parke_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2297.0|0|2311.0|0|26.0|0|0.0|100
0|2021-10-18|2300.0|0|2315.0|0|26.0|0|0.0|100
0|2021-10-19|2300.0|0|2315.0|0|26.0|0|0.0|100
0|2021-10-20|2304.0|0|2319.0|0|26.0|0|0.0|100
0|2021-10-21|2311.0|0|2326.0|0|26.0|0|0.0|100
0|2021-10-22|2314.0|0|2329.0|0|26.0|0|0.0|100
0|2021-10-23|2314.0|0|2329.0|0|26.0|0|0.0|100
0|2021-10-24|2314.0|0|2329.0|0|26.0|0|0.0|100
0|2021-10-25|2320.0|0|2335.0|0|29.0|0|0.0|100
0|2021-10-26|2324.0|0|2339.0|0|29.0|0|0.0|100
0|2021-10-27|2330.0|0|2345.0|0|29.0|0|0.0|100
0|2021-10-28|2330.0|0|2345.0|0|29.0|0|0.0|100
0|2021-10-29|2335.0|0|2350.0|0|29.0|0|0.0|100
0|2021-10-30|2335.0|0|2350.0|0|29.0|0|0.0|100
0|2021-10-31|2335.0|0|2350.0|0|29.0|0|0.0|100
0|2021-11-01|2340.0|0|2355.0|0|29.0|0|0.0|100
0|2021-11-02|2343.0|0|2358.0|0|29.0|0|0.0|100
0|2021-11-03|2346.0|0|2361.0|0|29.0|0|0.0|100
0|2021-11-04|2352.0|0|2367.0|0|29.0|0|0.0|100
0|2021-11-05|2360.0|0|2375.0|0|30.0|0|0.0|100
0|2021-11-06|2360.0|0|2375.0|0|30.0|0|0.0|100
0|2021-11-07|2360.0|0|2375.0|0|30.0|0|0.0|100
0|2021-11-08|2363.0|0|2378.0|0|30.0|0|0.0|100
0|2021-11-09|2366.0|0|2381.0|0|30.0|0|0.0|100
0|2021-11-10|2366.0|0|2392.0|0|30.0|0|0.0|100
0|2021-11-11|2388.0|0|2403.0|0|30.0|0|0.0|100
0|2021-11-12|2393.0|0|2408.0|0|30.0|0|0.0|100
0|2021-11-13|2393.0|0|2408.0|0|30.0|0|0.0|100
0|2021-11-14|2393.0|0|2408.0|0|30.0|0|0.0|100
0|2021-11-15|2394.0|0|2409.0|0|30.0|0|0.0|100
0|2021-11-16|2405.0|0|2420.0|0|30.0|0|0.0|100
0|2021-11-17|2414.0|0|2429.0|0|30.0|0|0.0|100
0|2021-11-18|2420.0|0|2435.0|0|30.0|0|0.0|100
0|2021-11-19|2429.0|0|2444.0|0|30.0|0|0.0|100
0|2021-11-20|2429.0|0|2444.0|0|30.0|0|0.0|100
0|2021-11-21|2429.0|0|2444.0|0|30.0|0|0.0|100
0|2021-11-22|2433.0|0|2448.0|0|30.0|0|0.0|100
0|2021-11-23|2439.0|0|2454.0|0|30.0|0|0.0|100
0|2021-11-24|2449.0|0|2464.0|0|30.0|0|0.0|100
0|2021-11-25|2449.0|0|2464.0|0|30.0|0|0.0|100
0|2021-11-26|2449.0|0|2464.0|0|30.0|0|0.0|100
0|2021-11-27|2449.0|0|2464.0|0|30.0|0|0.0|100
0|2021-11-28|2449.0|0|2464.0|0|30.0|0|0.0|100
0|2021-11-29|2463.0|0|2478.0|0|30.0|0|0.0|100
0|2021-11-30|2470.0|0|2485.0|0|30.0|0|0.0|100
0|2021-12-01|2485.0|0|2500.0|0|30.0|0|0.0|100
0|2021-12-02|2485.0|0|2511.0|0|30.0|0|0.0|100
0|2021-12-03|2501.0|0|2516.0|0|30.0|0|0.0|100
