|dates|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Oneida_NewYork_UnitedStates.NYT_ConfirmedDeaths.data|Oneida_NewYork_UnitedStates.NYT_ConfirmedDeaths.missing|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Oneida_NewYork_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|582.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|582.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|585.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|586.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|589.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|589.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|589.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|590.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|592.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|595.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|597.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|597.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|597.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|598.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|598.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|598.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|598.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|598.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|602.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|602.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|604.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|605.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|607.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|608.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|609.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|609.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|610.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|611.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|612.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|613.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|614.0|0|0.0|100|0.0|100
0|2021-11-17|0.0|100|617.0|0|0.0|100|0.0|100
0|2021-11-18|0.0|100|618.0|0|0.0|100|0.0|100
0|2021-11-19|0.0|100|622.0|0|0.0|100|0.0|100
0|2021-11-20|0.0|100|625.0|0|0.0|100|0.0|100
0|2021-11-21|0.0|100|628.0|0|0.0|100|0.0|100
0|2021-11-22|0.0|100|629.0|0|0.0|100|0.0|100
0|2021-11-23|0.0|100|634.0|0|0.0|100|0.0|100
0|2021-11-24|0.0|100|634.0|0|0.0|100|0.0|100
