|dates|Camp_Texas_UnitedStates.JHU_ConfirmedCases.data|Camp_Texas_UnitedStates.JHU_ConfirmedCases.missing|Camp_Texas_UnitedStates.NYT_ConfirmedCases.data|Camp_Texas_UnitedStates.NYT_ConfirmedCases.missing|Camp_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Camp_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Camp_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Camp_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1997.0|0|1997.0|0|64.0|0|0.0|100
0|2021-10-18|1997.0|0|1997.0|0|64.0|0|0.0|100
0|2021-10-19|2007.0|0|2007.0|0|64.0|0|0.0|100
0|2021-10-20|2007.0|0|2007.0|0|65.0|0|0.0|100
0|2021-10-21|2007.0|0|2007.0|0|65.0|0|0.0|100
0|2021-10-22|2011.0|0|2011.0|0|65.0|0|0.0|100
0|2021-10-23|2011.0|0|2011.0|0|65.0|0|0.0|100
0|2021-10-24|2012.0|0|2012.0|0|65.0|0|0.0|100
0|2021-10-25|2012.0|0|2012.0|0|65.0|0|0.0|100
0|2021-10-26|2013.0|0|2013.0|0|65.0|0|0.0|100
0|2021-10-27|2013.0|0|2013.0|0|65.0|0|0.0|100
0|2021-10-28|2014.0|0|2014.0|0|65.0|0|0.0|100
0|2021-10-29|2015.0|0|2015.0|0|66.0|0|0.0|100
0|2021-10-30|2016.0|0|2016.0|0|66.0|0|0.0|100
0|2021-10-31|2016.0|0|2016.0|0|66.0|0|0.0|100
0|2021-11-01|2016.0|0|2016.0|0|66.0|0|0.0|100
0|2021-11-02|2021.0|0|2021.0|0|67.0|0|0.0|100
0|2021-11-03|2021.0|0|2021.0|0|67.0|0|0.0|100
0|2021-11-04|2021.0|0|2021.0|0|67.0|0|0.0|100
0|2021-11-05|2022.0|0|2022.0|0|67.0|0|0.0|100
0|2021-11-06|2023.0|0|2023.0|0|67.0|0|0.0|100
0|2021-11-07|2023.0|0|2023.0|0|67.0|0|0.0|100
0|2021-11-08|2023.0|0|2023.0|0|67.0|0|0.0|100
0|2021-11-09|2029.0|0|2029.0|0|67.0|0|0.0|100
0|2021-11-10|2029.0|0|2029.0|0|67.0|0|0.0|100
0|2021-11-11|2034.0|0|2034.0|0|67.0|0|0.0|100
0|2021-11-12|2035.0|0|2035.0|0|67.0|0|0.0|100
0|2021-11-13|2036.0|0|2036.0|0|67.0|0|0.0|100
0|2021-11-14|2036.0|0|2036.0|0|67.0|0|0.0|100
0|2021-11-15|2036.0|0|2036.0|0|67.0|0|0.0|100
