|dates|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Lafayette_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Lafayette_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2061.0|0|2061.0|0|12.0|0|0.0|100
0|2021-10-18|2063.0|0|2063.0|0|12.0|0|0.0|100
0|2021-10-19|2071.0|0|2071.0|0|12.0|0|0.0|100
0|2021-10-20|2082.0|0|2082.0|0|12.0|0|0.0|100
0|2021-10-21|2089.0|0|2089.0|0|12.0|0|0.0|100
0|2021-10-22|2101.0|0|2101.0|0|12.0|0|0.0|100
0|2021-10-23|2101.0|0|2101.0|0|12.0|0|0.0|100
0|2021-10-24|2101.0|0|2101.0|0|12.0|0|0.0|100
0|2021-10-25|2113.0|0|2113.0|0|12.0|0|0.0|100
0|2021-10-26|2119.0|0|2119.0|0|12.0|0|0.0|100
0|2021-10-27|2122.0|0|2122.0|0|12.0|0|0.0|100
0|2021-10-28|2131.0|0|2131.0|0|12.0|0|0.0|100
0|2021-10-29|2146.0|0|2146.0|0|12.0|0|0.0|100
0|2021-10-30|2146.0|0|2146.0|0|12.0|0|0.0|100
0|2021-10-31|2146.0|0|2146.0|0|12.0|0|0.0|100
0|2021-11-01|2171.0|0|2171.0|0|12.0|0|0.0|100
0|2021-11-02|2178.0|0|2178.0|0|12.0|0|0.0|100
0|2021-11-03|2190.0|0|2190.0|0|12.0|0|0.0|100
0|2021-11-04|2196.0|0|2196.0|0|12.0|0|0.0|100
0|2021-11-05|2208.0|0|2208.0|0|12.0|0|0.0|100
0|2021-11-06|2208.0|0|2208.0|0|12.0|0|0.0|100
0|2021-11-07|2208.0|0|2208.0|0|12.0|0|0.0|100
0|2021-11-08|2232.0|0|2232.0|0|12.0|0|0.0|100
0|2021-11-09|2239.0|0|2239.0|0|12.0|0|0.0|100
0|2021-11-10|2239.0|0|2244.0|0|12.0|0|0.0|100
0|2021-11-11|2249.0|0|2249.0|0|12.0|0|0.0|100
0|2021-11-12|2258.0|0|2258.0|0|12.0|0|0.0|100
0|2021-11-13|2258.0|0|2258.0|0|12.0|0|0.0|100
0|2021-11-14|2258.0|0|2258.0|0|12.0|0|0.0|100
0|2021-11-15|2281.0|0|2281.0|0|12.0|0|0.0|100
0|2021-11-16|2290.0|0|2290.0|0|12.0|0|0.0|100
0|2021-11-17|2298.0|0|2298.0|0|12.0|0|0.0|100
0|2021-11-18|2310.0|0|2310.0|0|12.0|0|0.0|100
0|2021-11-19|2319.0|0|2319.0|0|12.0|0|0.0|100
0|2021-11-20|2319.0|0|2319.0|0|12.0|0|0.0|100
0|2021-11-21|2319.0|0|2319.0|0|12.0|0|0.0|100
0|2021-11-22|2351.0|0|2351.0|0|12.0|0|0.0|100
