|dates|Rush_Indiana_UnitedStates.JHU_ConfirmedCases.data|Rush_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Rush_Indiana_UnitedStates.NYT_ConfirmedCases.data|Rush_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Rush_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Rush_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Rush_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Rush_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2572.0|0|2642.0|0|32.0|0|0.0|100
0|2021-10-18|2588.0|0|2658.0|0|32.0|0|0.0|100
0|2021-10-19|2595.0|0|2665.0|0|32.0|0|0.0|100
0|2021-10-20|2608.0|0|2677.0|0|32.0|0|0.0|100
0|2021-10-21|2613.0|0|2682.0|0|32.0|0|0.0|100
0|2021-10-22|2624.0|0|2693.0|0|32.0|0|0.0|100
0|2021-10-23|2624.0|0|2693.0|0|32.0|0|0.0|100
0|2021-10-24|2624.0|0|2693.0|0|32.0|0|0.0|100
0|2021-10-25|2638.0|0|2707.0|0|32.0|0|0.0|100
0|2021-10-26|2644.0|0|2713.0|0|32.0|0|0.0|100
0|2021-10-27|2657.0|0|2726.0|0|32.0|0|0.0|100
0|2021-10-28|2669.0|0|2738.0|0|32.0|0|0.0|100
0|2021-10-29|2674.0|0|2743.0|0|32.0|0|0.0|100
0|2021-10-30|2674.0|0|2743.0|0|32.0|0|0.0|100
0|2021-10-31|2674.0|0|2743.0|0|32.0|0|0.0|100
0|2021-11-01|2690.0|0|2759.0|0|32.0|0|0.0|100
0|2021-11-02|2695.0|0|2764.0|0|32.0|0|0.0|100
0|2021-11-03|2709.0|0|2778.0|0|32.0|0|0.0|100
0|2021-11-04|2716.0|0|2785.0|0|32.0|0|0.0|100
0|2021-11-05|2722.0|0|2791.0|0|32.0|0|0.0|100
0|2021-11-06|2722.0|0|2791.0|0|32.0|0|0.0|100
0|2021-11-07|2722.0|0|2791.0|0|32.0|0|0.0|100
0|2021-11-08|2742.0|0|2811.0|0|32.0|0|0.0|100
0|2021-11-09|2749.0|0|2818.0|0|32.0|0|0.0|100
0|2021-11-10|2749.0|0|2829.0|0|32.0|0|0.0|100
0|2021-11-11|2796.0|0|2866.0|0|32.0|0|0.0|100
0|2021-11-12|2807.0|0|2877.0|0|32.0|0|0.0|100
0|2021-11-13|2807.0|0|2877.0|0|32.0|0|0.0|100
0|2021-11-14|2807.0|0|2877.0|0|32.0|0|0.0|100
0|2021-11-15|2819.0|0|2889.0|0|32.0|0|0.0|100
0|2021-11-16|2831.0|0|2901.0|0|32.0|0|0.0|100
0|2021-11-17|2847.0|0|2917.0|0|32.0|0|0.0|100
0|2021-11-18|2852.0|0|2922.0|0|32.0|0|0.0|100
0|2021-11-19|2861.0|0|2931.0|0|32.0|0|0.0|100
0|2021-11-20|2861.0|0|2931.0|0|32.0|0|0.0|100
0|2021-11-21|2861.0|0|2931.0|0|32.0|0|0.0|100
0|2021-11-22|2901.0|0|2971.0|0|32.0|0|0.0|100
0|2021-11-23|2913.0|0|2983.0|0|32.0|0|0.0|100
0|2021-11-24|2933.0|0|3004.0|0|32.0|0|0.0|100
0|2021-11-25|2933.0|0|3004.0|0|32.0|0|0.0|100
