|dates|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Somerset_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Somerset_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Somerset_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10234.0|0|10234.0|0|241.0|0|0.0|100
0|2021-10-18|10254.0|0|10254.0|0|243.0|0|0.0|100
0|2021-10-19|10273.0|0|10273.0|0|243.0|0|0.0|100
0|2021-10-20|10292.0|0|10292.0|0|244.0|0|0.0|100
0|2021-10-21|10333.0|0|10333.0|0|246.0|0|0.0|100
0|2021-10-22|10377.0|0|10377.0|0|247.0|0|0.0|100
0|2021-10-23|10428.0|0|10428.0|0|248.0|0|0.0|100
0|2021-10-24|10451.0|0|10451.0|0|248.0|0|0.0|100
0|2021-10-25|10462.0|0|10462.0|0|249.0|0|0.0|100
0|2021-10-26|10504.0|0|10504.0|0|250.0|0|0.0|100
0|2021-10-27|10546.0|0|10546.0|0|252.0|0|0.0|100
0|2021-10-28|10583.0|0|10583.0|0|253.0|0|0.0|100
0|2021-10-29|10625.0|0|10625.0|0|253.0|0|0.0|100
0|2021-10-30|10675.0|0|10675.0|0|253.0|0|0.0|100
0|2021-10-31|10701.0|0|10701.0|0|253.0|0|0.0|100
0|2021-11-01|10701.0|0|10701.0|0|253.0|0|0.0|100
0|2021-11-02|10746.0|0|10746.0|0|254.0|0|0.0|100
0|2021-11-03|10807.0|0|10807.0|0|257.0|0|0.0|100
0|2021-11-04|10856.0|0|10856.0|0|257.0|0|0.0|100
0|2021-11-05|10909.0|0|10909.0|0|258.0|0|0.0|100
0|2021-11-06|10945.0|0|10945.0|0|259.0|0|0.0|100
0|2021-11-07|10979.0|0|10979.0|0|259.0|0|0.0|100
0|2021-11-08|11011.0|0|11011.0|0|259.0|0|0.0|100
0|2021-11-09|11048.0|0|11048.0|0|261.0|0|0.0|100
0|2021-11-10|11099.0|0|11099.0|0|266.0|0|0.0|100
0|2021-11-11|11143.0|0|11143.0|0|267.0|0|0.0|100
0|2021-11-12|11199.0|0|11199.0|0|267.0|0|0.0|100
0|2021-11-13|11350.0|0|11350.0|0|267.0|0|0.0|100
