|dates|SanJuan_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanJuan_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanJuan_Colorado_UnitedStates.Male_Total_Population.data|SanJuan_Colorado_UnitedStates.Male_Total_Population.missing|SanJuan_Colorado_UnitedStates.Female_Total_Population.data|SanJuan_Colorado_UnitedStates.Female_Total_Population.missing|SanJuan_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|SanJuan_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-18|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-19|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-20|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-21|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-22|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-23|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-24|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-25|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-26|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-27|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-28|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-29|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-30|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-10-31|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-01|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-02|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-03|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-04|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-05|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-06|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-07|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-08|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-09|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-10|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-11|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-12|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-13|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-14|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-15|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-16|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-17|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-18|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-19|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-20|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-21|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-22|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-23|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-24|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-25|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-26|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-27|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-28|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-29|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-11-30|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-01|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-02|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-03|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-04|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-05|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-06|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-07|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-08|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-09|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-10|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-11|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-12|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-13|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-14|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-15|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-16|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-17|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-18|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-19|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-20|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-21|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-22|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-23|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-24|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-25|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-26|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-27|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-28|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-29|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-30|178.0|0|427.0|0|335.0|0|96.0|0
0|2021-12-31|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-01|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-02|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-03|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-04|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-05|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-06|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-07|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-08|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-09|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-10|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-11|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-12|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-13|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-14|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-15|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-16|178.0|0|427.0|0|335.0|0|96.0|0
0|2022-01-17|178.0|0|427.0|0|335.0|0|96.0|0
