|dates|Costilla_Colorado_UnitedStates.JHU_ConfirmedCases.data|Costilla_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Costilla_Colorado_UnitedStates.NYT_ConfirmedCases.data|Costilla_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Costilla_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Costilla_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Costilla_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Costilla_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|364.0|0|364.0|0|10.0|0|0.0|100
0|2021-10-18|369.0|0|369.0|0|10.0|0|0.0|100
0|2021-10-19|371.0|0|371.0|0|10.0|0|0.0|100
0|2021-10-20|374.0|0|374.0|0|10.0|0|0.0|100
0|2021-10-21|379.0|0|379.0|0|10.0|0|0.0|100
0|2021-10-22|379.0|0|379.0|0|10.0|0|0.0|100
0|2021-10-23|379.0|0|379.0|0|10.0|0|0.0|100
0|2021-10-24|379.0|0|379.0|0|10.0|0|0.0|100
0|2021-10-25|383.0|0|383.0|0|10.0|0|0.0|100
0|2021-10-26|384.0|0|384.0|0|10.0|0|0.0|100
0|2021-10-27|384.0|0|384.0|0|10.0|0|0.0|100
0|2021-10-28|389.0|0|389.0|0|10.0|0|0.0|100
0|2021-10-29|389.0|0|389.0|0|11.0|0|0.0|100
0|2021-10-30|389.0|0|389.0|0|11.0|0|0.0|100
0|2021-10-31|389.0|0|389.0|0|11.0|0|0.0|100
0|2021-11-01|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-02|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-03|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-04|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-05|398.0|0|398.0|0|12.0|0|0.0|100
0|2021-11-06|398.0|0|398.0|0|12.0|0|0.0|100
0|2021-11-07|398.0|0|398.0|0|12.0|0|0.0|100
0|2021-11-08|402.0|0|402.0|0|12.0|0|0.0|100
0|2021-11-09|403.0|0|403.0|0|12.0|0|0.0|100
0|2021-11-10|403.0|0|406.0|0|12.0|0|0.0|100
0|2021-11-11|408.0|0|408.0|0|12.0|0|0.0|100
0|2021-11-12|408.0|0|408.0|0|12.0|0|0.0|100
0|2021-11-13|408.0|0|408.0|0|12.0|0|0.0|100
0|2021-11-14|408.0|0|408.0|0|12.0|0|0.0|100
0|2021-11-15|412.0|0|412.0|0|12.0|0|0.0|100
0|2021-11-16|415.0|0|415.0|0|13.0|0|0.0|100
0|2021-11-17|416.0|0|416.0|0|13.0|0|0.0|100
0|2021-11-18|416.0|0|416.0|0|13.0|0|0.0|100
0|2021-11-19|417.0|0|417.0|0|13.0|0|0.0|100
0|2021-11-20|417.0|0|417.0|0|13.0|0|0.0|100
0|2021-11-21|417.0|0|417.0|0|13.0|0|0.0|100
0|2021-11-22|422.0|0|422.0|0|13.0|0|0.0|100
0|2021-11-23|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-24|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-25|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-26|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-27|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-28|424.0|0|424.0|0|13.0|0|0.0|100
0|2021-11-29|425.0|0|425.0|0|13.0|0|0.0|100
0|2021-11-30|425.0|0|425.0|0|13.0|0|0.0|100
0|2021-12-01|425.0|0|427.0|0|13.0|0|0.0|100
0|2021-12-02|432.0|0|432.0|0|13.0|0|0.0|100
0|2021-12-03|435.0|0|434.0|0|13.0|0|0.0|100
0|2021-12-04|435.0|0|435.0|0|13.0|0|0.0|100
0|2021-12-05|435.0|0|435.0|0|13.0|0|0.0|100
0|2021-12-06|434.0|0|434.0|0|13.0|0|0.0|100
0|2021-12-07|435.0|0|435.0|0|13.0|0|0.0|100
0|2021-12-08|435.0|0|435.0|0|13.0|0|0.0|100
