|dates|Suffolk_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Suffolk_NewYork_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Suffolk_NewYork_UnitedStates.Male_Total_Population.data|Suffolk_NewYork_UnitedStates.Male_Total_Population.missing|Suffolk_NewYork_UnitedStates.Female_Total_Population.data|Suffolk_NewYork_UnitedStates.Female_Total_Population.missing|Suffolk_NewYork_UnitedStates.MaleAndFemale_Under18_Population.data|Suffolk_NewYork_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-18|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-19|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-20|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-21|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-22|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-23|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-24|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-25|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-26|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-27|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-28|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-29|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-30|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-10-31|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-01|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-02|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-03|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-04|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-05|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-06|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-07|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-08|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-09|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-10|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-11|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-12|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-13|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-14|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-15|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-16|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-17|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-18|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-19|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-20|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-21|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-22|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-23|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-24|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-25|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-26|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-27|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-28|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-29|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-11-30|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-01|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-02|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-03|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-04|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-05|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-06|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-07|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-08|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-09|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-10|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-11|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-12|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-13|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-14|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-15|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-16|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-17|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-18|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-19|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-20|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-21|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-22|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-23|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-24|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-25|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-26|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-27|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-28|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-29|249756.0|0|729117.0|0|751976.0|0|313019.0|0
0|2021-12-30|249756.0|0|729117.0|0|751976.0|0|313019.0|0
