|dates|Monterey_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Monterey_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Monterey_California_UnitedStates.Male_Total_Population.data|Monterey_California_UnitedStates.Male_Total_Population.missing|Monterey_California_UnitedStates.Female_Total_Population.data|Monterey_California_UnitedStates.Female_Total_Population.missing|Monterey_California_UnitedStates.MaleAndFemale_Under18_Population.data|Monterey_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-18|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-19|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-20|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-21|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-22|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-23|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-24|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-25|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-26|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-27|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-28|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-29|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-30|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-10-31|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-01|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-02|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-03|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-04|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-05|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-06|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-07|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-08|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-09|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-10|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-11|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-12|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-13|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-14|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-15|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-16|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-17|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-18|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-19|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-20|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-21|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-22|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-23|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-24|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-25|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-26|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-27|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-28|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-29|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-11-30|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-01|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-02|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-03|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-04|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-05|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-06|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-07|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-08|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-09|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-10|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-11|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-12|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-13|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-14|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-15|59201.0|0|221787.0|0|213807.0|0|113834.0|0
0|2021-12-16|59201.0|0|221787.0|0|213807.0|0|113834.0|0
