|dates|Monroe_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Monroe_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Monroe_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Monroe_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Monroe_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Monroe_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Monroe_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Monroe_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2240.0|0|2240.0|0|59.0|0|0.0|100
0|2021-10-18|2242.0|0|2242.0|0|59.0|0|0.0|100
0|2021-10-19|2244.0|0|2244.0|0|59.0|0|0.0|100
0|2021-10-20|2250.0|0|2250.0|0|59.0|0|0.0|100
0|2021-10-21|2252.0|0|2252.0|0|59.0|0|0.0|100
0|2021-10-22|2254.0|0|2254.0|0|59.0|0|0.0|100
0|2021-10-23|2254.0|0|2254.0|0|59.0|0|0.0|100
0|2021-10-24|2254.0|0|2254.0|0|59.0|0|0.0|100
0|2021-10-25|2265.0|0|2265.0|0|59.0|0|0.0|100
0|2021-10-26|2268.0|0|2268.0|0|59.0|0|0.0|100
0|2021-10-27|2273.0|0|2273.0|0|59.0|0|0.0|100
0|2021-10-28|2279.0|0|2279.0|0|59.0|0|0.0|100
0|2021-10-29|2282.0|0|2282.0|0|59.0|0|0.0|100
0|2021-10-30|2282.0|0|2282.0|0|59.0|0|0.0|100
0|2021-10-31|2282.0|0|2282.0|0|59.0|0|0.0|100
0|2021-11-01|2286.0|0|2286.0|0|59.0|0|0.0|100
0|2021-11-02|2292.0|0|2292.0|0|59.0|0|0.0|100
0|2021-11-03|2297.0|0|2297.0|0|59.0|0|0.0|100
0|2021-11-04|2296.0|0|2296.0|0|59.0|0|0.0|100
0|2021-11-05|2298.0|0|2298.0|0|60.0|0|0.0|100
0|2021-11-06|2298.0|0|2298.0|0|60.0|0|0.0|100
0|2021-11-07|2298.0|0|2298.0|0|60.0|0|0.0|100
0|2021-11-08|2303.0|0|2303.0|0|61.0|0|0.0|100
0|2021-11-09|2309.0|0|2309.0|0|61.0|0|0.0|100
0|2021-11-10|2309.0|0|2320.0|0|61.0|0|0.0|100
0|2021-11-11|2320.0|0|2320.0|0|61.0|0|0.0|100
0|2021-11-12|2334.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-13|2334.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-14|2334.0|0|2334.0|0|61.0|0|0.0|100
0|2021-11-15|2351.0|0|2351.0|0|61.0|0|0.0|100
0|2021-11-16|2361.0|0|2361.0|0|61.0|0|0.0|100
0|2021-11-17|2367.0|0|2367.0|0|62.0|0|0.0|100
0|2021-11-18|2373.0|0|2373.0|0|62.0|0|0.0|100
0|2021-11-19|2381.0|0|2381.0|0|62.0|0|0.0|100
0|2021-11-20|2381.0|0|2381.0|0|62.0|0|0.0|100
0|2021-11-21|2381.0|0|2381.0|0|62.0|0|0.0|100
0|2021-11-22|2391.0|0|2391.0|0|64.0|0|0.0|100
0|2021-11-23|2401.0|0|2401.0|0|64.0|0|0.0|100
0|2021-11-24|2406.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-25|2406.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-26|2406.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-27|2406.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-28|2406.0|0|2406.0|0|64.0|0|0.0|100
0|2021-11-29|2424.0|0|2424.0|0|64.0|0|0.0|100
0|2021-11-30|2442.0|0|2442.0|0|64.0|0|0.0|100
0|2021-12-01|2460.0|0|2460.0|0|64.0|0|0.0|100
0|2021-12-02|2460.0|0|2464.0|0|64.0|0|0.0|100
0|2021-12-03|2472.0|0|2472.0|0|64.0|0|0.0|100
0|2021-12-04|2472.0|0|2472.0|0|64.0|0|0.0|100
0|2021-12-05|2472.0|0|2472.0|0|64.0|0|0.0|100
0|2021-12-06|2479.0|0|2479.0|0|65.0|0|0.0|100
0|2021-12-07|2486.0|0|2486.0|0|65.0|0|0.0|100
0|2021-12-08|2501.0|0|2501.0|0|65.0|0|0.0|100
0|2021-12-09|2511.0|0|2511.0|0|66.0|0|0.0|100
0|2021-12-10|2513.0|0|2513.0|0|66.0|0|0.0|100
0|2021-12-11|2513.0|0|2513.0|0|66.0|0|0.0|100
0|2021-12-12|2513.0|0|2513.0|0|66.0|0|0.0|100
0|2021-12-13|2520.0|0|2520.0|0|66.0|0|0.0|100
0|2021-12-14|2520.0|0|2527.0|0|66.0|0|0.0|100
0|2021-12-15|2536.0|0|2536.0|0|66.0|0|0.0|100
0|2021-12-16|2549.0|0|2549.0|0|66.0|0|0.0|100
0|2021-12-17|2561.0|0|2561.0|0|67.0|0|0.0|100
0|2021-12-18|2561.0|0|2561.0|0|67.0|0|0.0|100
0|2021-12-19|2561.0|0|2561.0|0|67.0|0|0.0|100
0|2021-12-20|2579.0|0|2579.0|0|67.0|0|0.0|100
0|2021-12-21|2592.0|0|2592.0|0|67.0|0|0.0|100
0|2021-12-22|2599.0|0|2599.0|0|67.0|0|0.0|100
0|2021-12-23|2599.0|0|2599.0|0|67.0|0|0.0|100
0|2021-12-24|2599.0|0|2599.0|0|67.0|0|0.0|100
0|2021-12-25|2599.0|0|2599.0|0|67.0|0|0.0|100
0|2021-12-26|2599.0|0|2599.0|0|67.0|0|0.0|100
0|2021-12-27|2624.0|0|2624.0|0|68.0|0|0.0|100
0|2021-12-28|2638.0|0|2638.0|0|68.0|0|0.0|100
