|dates|Laurens_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Laurens_SouthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Laurens_SouthCarolina_UnitedStates.Male_Total_Population.data|Laurens_SouthCarolina_UnitedStates.Male_Total_Population.missing|Laurens_SouthCarolina_UnitedStates.Female_Total_Population.data|Laurens_SouthCarolina_UnitedStates.Female_Total_Population.missing|Laurens_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Laurens_SouthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-18|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-19|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-20|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-21|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-22|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-23|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-24|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-25|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-26|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-27|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-28|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-29|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-30|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-10-31|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-01|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-02|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-03|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-04|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-05|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-06|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-07|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-08|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-09|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-10|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-11|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-12|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-13|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-14|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-15|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-16|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-17|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-18|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-19|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-20|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-21|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-22|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-23|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-24|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-25|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-26|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-27|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-28|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-29|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-11-30|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-01|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-02|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-03|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-04|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-05|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-06|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-07|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-08|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-09|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-10|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-11|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-12|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-13|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-14|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-15|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-16|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-17|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-18|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-19|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-20|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-21|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-22|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-23|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-24|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-25|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-26|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-27|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-28|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-29|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-30|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2021-12-31|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-01|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-02|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-03|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-04|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-05|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-06|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-07|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-08|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-09|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-10|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-11|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-12|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-13|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-14|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-15|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-16|12410.0|0|32381.0|0|34613.0|0|14592.0|0
0|2022-01-17|12410.0|0|32381.0|0|34613.0|0|14592.0|0
