|dates|Bureau_Illinois_UnitedStates.JHU_ConfirmedCases.data|Bureau_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Bureau_Illinois_UnitedStates.NYT_ConfirmedCases.data|Bureau_Illinois_UnitedStates.NYT_ConfirmedCases.missing|Bureau_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Bureau_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Bureau_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Bureau_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4411.0|0|4411.0|0|89.0|0|0.0|100
0|2021-10-18|4421.0|0|4421.0|0|90.0|0|0.0|100
0|2021-10-19|4425.0|0|4425.0|0|91.0|0|0.0|100
0|2021-10-20|4426.0|0|4426.0|0|91.0|0|0.0|100
0|2021-10-21|4431.0|0|4431.0|0|91.0|0|0.0|100
0|2021-10-22|4442.0|0|4442.0|0|91.0|0|0.0|100
0|2021-10-23|4442.0|0|4442.0|0|91.0|0|0.0|100
0|2021-10-24|4442.0|0|4442.0|0|91.0|0|0.0|100
0|2021-10-25|4454.0|0|4454.0|0|91.0|0|0.0|100
0|2021-10-26|4462.0|0|4462.0|0|91.0|0|0.0|100
0|2021-10-27|4466.0|0|4466.0|0|91.0|0|0.0|100
0|2021-10-28|4478.0|0|4478.0|0|91.0|0|0.0|100
0|2021-10-29|4486.0|0|4486.0|0|92.0|0|0.0|100
0|2021-10-30|4486.0|0|4486.0|0|92.0|0|0.0|100
0|2021-10-31|4486.0|0|4486.0|0|92.0|0|0.0|100
0|2021-11-01|4510.0|0|4510.0|0|92.0|0|0.0|100
0|2021-11-02|4527.0|0|4527.0|0|92.0|0|0.0|100
0|2021-11-03|4538.0|0|4538.0|0|92.0|0|0.0|100
0|2021-11-04|4557.0|0|4557.0|0|93.0|0|0.0|100
0|2021-11-05|4576.0|0|4576.0|0|93.0|0|0.0|100
0|2021-11-06|4576.0|0|4576.0|0|93.0|0|0.0|100
0|2021-11-07|4576.0|0|4576.0|0|93.0|0|0.0|100
0|2021-11-08|4600.0|0|4600.0|0|94.0|0|0.0|100
0|2021-11-09|4618.0|0|4618.0|0|94.0|0|0.0|100
0|2021-11-10|4618.0|0|4635.0|0|94.0|0|0.0|100
0|2021-11-11|4635.0|0|4635.0|0|94.0|0|0.0|100
0|2021-11-12|4663.0|0|4663.0|0|95.0|0|0.0|100
0|2021-11-13|4663.0|0|4663.0|0|95.0|0|0.0|100
0|2021-11-14|4663.0|0|4663.0|0|95.0|0|0.0|100
0|2021-11-15|4687.0|0|4687.0|0|96.0|0|0.0|100
0|2021-11-16|4700.0|0|4700.0|0|96.0|0|0.0|100
0|2021-11-17|4713.0|0|4713.0|0|96.0|0|0.0|100
0|2021-11-18|4728.0|0|4728.0|0|96.0|0|0.0|100
