|dates|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lincoln_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Lincoln_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lincoln_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6595.0|0|6595.0|0|80.0|0|0.0|100
0|2021-10-18|6606.0|0|6606.0|0|81.0|0|0.0|100
0|2021-10-19|6612.0|0|6612.0|0|81.0|0|0.0|100
0|2021-10-20|6618.0|0|6618.0|0|82.0|0|0.0|100
0|2021-10-21|6628.0|0|6628.0|0|82.0|0|0.0|100
0|2021-10-22|6636.0|0|6636.0|0|82.0|0|0.0|100
0|2021-10-23|6636.0|0|6636.0|0|82.0|0|0.0|100
0|2021-10-24|6636.0|0|6636.0|0|82.0|0|0.0|100
0|2021-10-25|6636.0|0|6636.0|0|82.0|0|0.0|100
0|2021-10-26|6658.0|0|6658.0|0|82.0|0|0.0|100
0|2021-10-27|6666.0|0|6666.0|0|83.0|0|0.0|100
0|2021-10-28|6685.0|0|6685.0|0|83.0|0|0.0|100
0|2021-10-29|6692.0|0|6692.0|0|83.0|0|0.0|100
0|2021-10-30|6692.0|0|6692.0|0|83.0|0|0.0|100
0|2021-10-31|6692.0|0|6692.0|0|83.0|0|0.0|100
0|2021-11-01|6692.0|0|6692.0|0|83.0|0|0.0|100
0|2021-11-02|6708.0|0|6708.0|0|83.0|0|0.0|100
0|2021-11-03|6721.0|0|6721.0|0|83.0|0|0.0|100
0|2021-11-04|6728.0|0|6728.0|0|84.0|0|0.0|100
0|2021-11-05|6730.0|0|6730.0|0|85.0|0|0.0|100
0|2021-11-06|6730.0|0|6730.0|0|85.0|0|0.0|100
0|2021-11-07|6730.0|0|6730.0|0|85.0|0|0.0|100
0|2021-11-08|6730.0|0|6730.0|0|85.0|0|0.0|100
0|2021-11-09|6739.0|0|6739.0|0|86.0|0|0.0|100
0|2021-11-10|6752.0|0|6752.0|0|87.0|0|0.0|100
0|2021-11-11|6752.0|0|6752.0|0|87.0|0|0.0|100
0|2021-11-12|6767.0|0|6767.0|0|87.0|0|0.0|100
0|2021-11-13|6767.0|0|6767.0|0|87.0|0|0.0|100
0|2021-11-14|6767.0|0|6767.0|0|87.0|0|0.0|100
0|2021-11-15|6779.0|0|6779.0|0|87.0|0|0.0|100
0|2021-11-16|6784.0|0|6784.0|0|87.0|0|0.0|100
0|2021-11-17|6792.0|0|6792.0|0|87.0|0|0.0|100
0|2021-11-18|6794.0|0|6794.0|0|87.0|0|0.0|100
0|2021-11-19|6800.0|0|6800.0|0|87.0|0|0.0|100
0|2021-11-20|6800.0|0|6800.0|0|87.0|0|0.0|100
0|2021-11-21|6800.0|0|6800.0|0|87.0|0|0.0|100
0|2021-11-22|6816.0|0|6816.0|0|87.0|0|0.0|100
0|2021-11-23|6822.0|0|6822.0|0|89.0|0|0.0|100
0|2021-11-24|6824.0|0|6824.0|0|91.0|0|0.0|100
