|dates|Benton_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Benton_Mississippi_UnitedStates.NYT_ConfirmedCases.data|Benton_Mississippi_UnitedStates.NYT_ConfirmedCases.missing|Benton_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Benton_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Benton_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1474.0|0|1474.0|0|38.0|0|0.0|100
0|2021-10-18|1475.0|0|1475.0|0|38.0|0|0.0|100
0|2021-10-19|1484.0|0|1484.0|0|38.0|0|0.0|100
0|2021-10-20|1484.0|0|1484.0|0|38.0|0|0.0|100
0|2021-10-21|1487.0|0|1487.0|0|38.0|0|0.0|100
0|2021-10-22|1488.0|0|1488.0|0|38.0|0|0.0|100
0|2021-10-23|1488.0|0|1488.0|0|38.0|0|0.0|100
0|2021-10-24|1488.0|0|1488.0|0|38.0|0|0.0|100
0|2021-10-25|1492.0|0|1492.0|0|39.0|0|0.0|100
0|2021-10-26|1494.0|0|1494.0|0|39.0|0|0.0|100
0|2021-10-27|1494.0|0|1494.0|0|39.0|0|0.0|100
0|2021-10-28|1500.0|0|1500.0|0|39.0|0|0.0|100
0|2021-10-29|1503.0|0|1503.0|0|39.0|0|0.0|100
0|2021-10-30|1503.0|0|1503.0|0|39.0|0|0.0|100
0|2021-10-31|1503.0|0|1503.0|0|39.0|0|0.0|100
0|2021-11-01|1503.0|0|1503.0|0|39.0|0|0.0|100
0|2021-11-02|1505.0|0|1505.0|0|39.0|0|0.0|100
0|2021-11-03|1505.0|0|1505.0|0|39.0|0|0.0|100
0|2021-11-04|1505.0|0|1505.0|0|39.0|0|0.0|100
0|2021-11-05|1506.0|0|1506.0|0|39.0|0|0.0|100
0|2021-11-06|1506.0|0|1506.0|0|39.0|0|0.0|100
0|2021-11-07|1506.0|0|1506.0|0|39.0|0|0.0|100
0|2021-11-08|1508.0|0|1508.0|0|39.0|0|0.0|100
