|dates|Freestone_Texas_UnitedStates.JHU_ConfirmedCases.data|Freestone_Texas_UnitedStates.JHU_ConfirmedCases.missing|Freestone_Texas_UnitedStates.NYT_ConfirmedCases.data|Freestone_Texas_UnitedStates.NYT_ConfirmedCases.missing|Freestone_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Freestone_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Freestone_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Freestone_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2724.0|0|2724.0|0|66.0|0|0.0|100
0|2021-10-18|2728.0|0|2728.0|0|66.0|0|0.0|100
0|2021-10-19|2731.0|0|2731.0|0|66.0|0|0.0|100
0|2021-10-20|2733.0|0|2733.0|0|67.0|0|0.0|100
0|2021-10-21|2736.0|0|2736.0|0|67.0|0|0.0|100
0|2021-10-22|2741.0|0|2741.0|0|67.0|0|0.0|100
0|2021-10-23|2744.0|0|2744.0|0|67.0|0|0.0|100
0|2021-10-24|2744.0|0|2744.0|0|67.0|0|0.0|100
0|2021-10-25|2755.0|0|2755.0|0|67.0|0|0.0|100
0|2021-10-26|2756.0|0|2756.0|0|67.0|0|0.0|100
0|2021-10-27|2760.0|0|2760.0|0|67.0|0|0.0|100
0|2021-10-28|2760.0|0|2760.0|0|67.0|0|0.0|100
0|2021-10-29|2763.0|0|2763.0|0|68.0|0|0.0|100
0|2021-10-30|2765.0|0|2765.0|0|68.0|0|0.0|100
0|2021-10-31|2765.0|0|2765.0|0|68.0|0|0.0|100
0|2021-11-01|2766.0|0|2766.0|0|68.0|0|0.0|100
0|2021-11-02|2765.0|0|2765.0|0|68.0|0|0.0|100
0|2021-11-03|2765.0|0|2765.0|0|68.0|0|0.0|100
0|2021-11-04|2762.0|0|2762.0|0|69.0|0|0.0|100
0|2021-11-05|2762.0|0|2762.0|0|69.0|0|0.0|100
0|2021-11-06|2764.0|0|2764.0|0|69.0|0|0.0|100
0|2021-11-07|2764.0|0|2764.0|0|69.0|0|0.0|100
0|2021-11-08|2766.0|0|2766.0|0|69.0|0|0.0|100
0|2021-11-09|2763.0|0|2763.0|0|69.0|0|0.0|100
0|2021-11-10|2763.0|0|2763.0|0|69.0|0|0.0|100
0|2021-11-11|2767.0|0|2767.0|0|69.0|0|0.0|100
0|2021-11-12|2768.0|0|2768.0|0|69.0|0|0.0|100
