|dates|Washoe_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Washoe_Nevada_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Washoe_Nevada_UnitedStates.Male_Total_Population.data|Washoe_Nevada_UnitedStates.Male_Total_Population.missing|Washoe_Nevada_UnitedStates.Female_Total_Population.data|Washoe_Nevada_UnitedStates.Female_Total_Population.missing|Washoe_Nevada_UnitedStates.MaleAndFemale_Under18_Population.data|Washoe_Nevada_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-18|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-19|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-20|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-21|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-22|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-23|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-24|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-25|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-26|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-27|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-28|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-29|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-30|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-10-31|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-01|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-02|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-03|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-04|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-05|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-06|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-07|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-08|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-09|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-10|76161.0|0|234560.0|0|231175.0|0|100776.0|0
0|2021-11-11|76161.0|0|234560.0|0|231175.0|0|100776.0|0
