|dates|Hocking_Ohio_UnitedStates.JHU_ConfirmedCases.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Hocking_Ohio_UnitedStates.NYT_ConfirmedCases.data|Hocking_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Hocking_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Hocking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Hocking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3511.0|0|3511.0|0|84.0|0|0.0|100
0|2021-10-18|3525.0|0|3525.0|0|85.0|0|0.0|100
0|2021-10-19|3532.0|0|3532.0|0|85.0|0|0.0|100
0|2021-10-20|3543.0|0|3543.0|0|85.0|0|0.0|100
0|2021-10-21|3555.0|0|3555.0|0|85.0|0|0.0|100
0|2021-10-22|3564.0|0|3564.0|0|85.0|0|0.0|100
0|2021-10-23|3567.0|0|3567.0|0|85.0|0|0.0|100
0|2021-10-24|3569.0|0|3569.0|0|85.0|0|0.0|100
0|2021-10-25|3575.0|0|3575.0|0|86.0|0|0.0|100
0|2021-10-26|3585.0|0|3585.0|0|86.0|0|0.0|100
0|2021-10-27|3588.0|0|3588.0|0|87.0|0|0.0|100
0|2021-10-28|3603.0|0|3603.0|0|87.0|0|0.0|100
0|2021-10-29|3611.0|0|3611.0|0|87.0|0|0.0|100
0|2021-10-30|3619.0|0|3619.0|0|87.0|0|0.0|100
0|2021-10-31|3623.0|0|3623.0|0|87.0|0|0.0|100
0|2021-11-01|3634.0|0|3634.0|0|87.0|0|0.0|100
0|2021-11-02|3638.0|0|3638.0|0|87.0|0|0.0|100
0|2021-11-03|3656.0|0|3656.0|0|87.0|0|0.0|100
0|2021-11-04|3673.0|0|3673.0|0|87.0|0|0.0|100
0|2021-11-05|3682.0|0|3682.0|0|87.0|0|0.0|100
0|2021-11-06|3688.0|0|3688.0|0|87.0|0|0.0|100
0|2021-11-07|3693.0|0|3693.0|0|87.0|0|0.0|100
0|2021-11-08|3704.0|0|3704.0|0|87.0|0|0.0|100
