|dates|Reagan_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Reagan_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Reagan_Texas_UnitedStates.Male_Total_Population.data|Reagan_Texas_UnitedStates.Male_Total_Population.missing|Reagan_Texas_UnitedStates.Female_Total_Population.data|Reagan_Texas_UnitedStates.Female_Total_Population.missing|Reagan_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Reagan_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-18|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-19|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-20|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-21|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-22|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-23|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-24|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-25|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-26|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-27|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-28|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-29|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-30|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-10-31|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-01|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-02|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-03|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-04|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-05|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-06|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-07|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-08|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-09|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-10|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-11|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-12|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-13|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-14|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-15|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-16|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-17|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-18|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-19|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-20|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-21|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-22|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-23|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-24|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-25|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-26|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-27|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-28|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-29|420.0|0|2001.0|0|1740.0|0|1091.0|0
0|2021-11-30|420.0|0|2001.0|0|1740.0|0|1091.0|0
