|dates|Ector_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Ector_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Ector_Texas_UnitedStates.Male_Total_Population.data|Ector_Texas_UnitedStates.Male_Total_Population.missing|Ector_Texas_UnitedStates.Female_Total_Population.data|Ector_Texas_UnitedStates.Female_Total_Population.missing|Ector_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Ector_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-18|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-19|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-20|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-21|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-22|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-23|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-24|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-25|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-26|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-27|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-28|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-29|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-30|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-10-31|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-01|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-02|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-03|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-04|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-05|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-06|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-07|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-08|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-09|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-10|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-11|15760.0|0|82485.0|0|79639.0|0|48856.0|0
0|2021-11-12|15760.0|0|82485.0|0|79639.0|0|48856.0|0
