|dates|Schoharie_NewYork_UnitedStates.JHU_ConfirmedCases.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Schoharie_NewYork_UnitedStates.NYT_ConfirmedCases.data|Schoharie_NewYork_UnitedStates.NYT_ConfirmedCases.missing|Schoharie_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Schoharie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Schoharie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2272.0|0|2272.0|0|21.0|0|0.0|100
0|2021-10-18|2276.0|0|2276.0|0|21.0|0|0.0|100
0|2021-10-19|2277.0|0|2277.0|0|21.0|0|0.0|100
0|2021-10-20|2289.0|0|2289.0|0|21.0|0|0.0|100
0|2021-10-21|2295.0|0|2295.0|0|21.0|0|0.0|100
0|2021-10-22|2301.0|0|2301.0|0|21.0|0|0.0|100
0|2021-10-23|2322.0|0|2322.0|0|21.0|0|0.0|100
0|2021-10-24|2328.0|0|2328.0|0|22.0|0|0.0|100
0|2021-10-25|2337.0|0|2337.0|0|23.0|0|0.0|100
0|2021-10-26|2342.0|0|2342.0|0|23.0|0|0.0|100
0|2021-10-27|2350.0|0|2350.0|0|23.0|0|0.0|100
0|2021-10-28|2360.0|0|2360.0|0|23.0|0|0.0|100
0|2021-10-29|2368.0|0|2368.0|0|23.0|0|0.0|100
0|2021-10-30|2379.0|0|2379.0|0|23.0|0|0.0|100
0|2021-10-31|2382.0|0|2382.0|0|23.0|0|0.0|100
0|2021-11-01|2387.0|0|2387.0|0|23.0|0|0.0|100
0|2021-11-02|2393.0|0|2393.0|0|23.0|0|0.0|100
0|2021-11-03|2400.0|0|2400.0|0|23.0|0|0.0|100
0|2021-11-04|2415.0|0|2415.0|0|23.0|0|0.0|100
0|2021-11-05|2426.0|0|2426.0|0|23.0|0|0.0|100
0|2021-11-06|2429.0|0|2429.0|0|24.0|0|0.0|100
0|2021-11-07|2439.0|0|2439.0|0|24.0|0|0.0|100
0|2021-11-08|2445.0|0|2445.0|0|24.0|0|0.0|100
