|dates|Campbell_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Campbell_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Campbell_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Campbell_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Campbell_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Campbell_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Campbell_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Campbell_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6993.0|0|6993.0|0|79.0|0|0.0|100
0|2021-10-18|7060.0|0|7060.0|0|79.0|0|0.0|100
0|2021-10-19|7117.0|0|7117.0|0|79.0|0|0.0|100
0|2021-10-20|7142.0|0|7142.0|0|79.0|0|0.0|100
0|2021-10-21|7172.0|0|7172.0|0|79.0|0|0.0|100
0|2021-10-22|7183.0|0|7183.0|0|80.0|0|0.0|100
0|2021-10-23|7183.0|0|7183.0|0|80.0|0|0.0|100
0|2021-10-24|7183.0|0|7183.0|0|80.0|0|0.0|100
0|2021-10-25|7183.0|0|7183.0|0|80.0|0|0.0|100
0|2021-10-26|7217.0|0|7217.0|0|80.0|0|0.0|100
0|2021-10-27|7233.0|0|7233.0|0|80.0|0|0.0|100
0|2021-10-28|7257.0|0|7257.0|0|80.0|0|0.0|100
0|2021-10-29|7268.0|0|7268.0|0|80.0|0|0.0|100
0|2021-10-30|7268.0|0|7268.0|0|80.0|0|0.0|100
0|2021-10-31|7268.0|0|7268.0|0|80.0|0|0.0|100
0|2021-11-01|7268.0|0|7268.0|0|80.0|0|0.0|100
0|2021-11-02|7297.0|0|7297.0|0|83.0|0|0.0|100
0|2021-11-03|7300.0|0|7300.0|0|85.0|0|0.0|100
0|2021-11-04|7320.0|0|7320.0|0|86.0|0|0.0|100
0|2021-11-05|7330.0|0|7330.0|0|86.0|0|0.0|100
0|2021-11-06|7330.0|0|7330.0|0|86.0|0|0.0|100
0|2021-11-07|7330.0|0|7330.0|0|86.0|0|0.0|100
0|2021-11-08|7330.0|0|7330.0|0|86.0|0|0.0|100
0|2021-11-09|7351.0|0|7351.0|0|87.0|0|0.0|100
0|2021-11-10|7385.0|0|7385.0|0|87.0|0|0.0|100
0|2021-11-11|7385.0|0|7385.0|0|87.0|0|0.0|100
0|2021-11-12|7396.0|0|7396.0|0|88.0|0|0.0|100
0|2021-11-13|7396.0|0|7396.0|0|88.0|0|0.0|100
0|2021-11-14|7396.0|0|7396.0|0|88.0|0|0.0|100
0|2021-11-15|7416.0|0|7416.0|0|88.0|0|0.0|100
0|2021-11-16|7429.0|0|7429.0|0|88.0|0|0.0|100
0|2021-11-17|7446.0|0|7446.0|0|88.0|0|0.0|100
0|2021-11-18|7456.0|0|7456.0|0|88.0|0|0.0|100
0|2021-11-19|7468.0|0|7468.0|0|88.0|0|0.0|100
0|2021-11-20|7468.0|0|7468.0|0|88.0|0|0.0|100
0|2021-11-21|7468.0|0|7468.0|0|88.0|0|0.0|100
0|2021-11-22|7483.0|0|7483.0|0|88.0|0|0.0|100
0|2021-11-23|7495.0|0|7495.0|0|88.0|0|0.0|100
0|2021-11-24|7508.0|0|7508.0|0|88.0|0|0.0|100
0|2021-11-25|7508.0|0|7508.0|0|88.0|0|0.0|100
0|2021-11-26|7508.0|0|7508.0|0|88.0|0|0.0|100
0|2021-11-27|7508.0|0|7508.0|0|88.0|0|0.0|100
0|2021-11-28|7508.0|0|7508.0|0|88.0|0|0.0|100
0|2021-11-29|7523.0|0|7523.0|0|88.0|0|0.0|100
0|2021-11-30|7543.0|0|7543.0|0|89.0|0|0.0|100
0|2021-12-01|7559.0|0|7559.0|0|92.0|0|0.0|100
0|2021-12-02|7572.0|0|7572.0|0|92.0|0|0.0|100
0|2021-12-03|7581.0|0|7581.0|0|92.0|0|0.0|100
0|2021-12-04|7581.0|0|7581.0|0|92.0|0|0.0|100
0|2021-12-05|7581.0|0|7581.0|0|92.0|0|0.0|100
0|2021-12-06|7617.0|0|7617.0|0|92.0|0|0.0|100
0|2021-12-07|7633.0|0|7633.0|0|93.0|0|0.0|100
0|2021-12-08|7650.0|0|7650.0|0|93.0|0|0.0|100
0|2021-12-09|7650.0|0|7650.0|0|93.0|0|0.0|100
0|2021-12-10|7669.0|0|7669.0|0|93.0|0|0.0|100
0|2021-12-11|7669.0|0|7669.0|0|93.0|0|0.0|100
0|2021-12-12|7669.0|0|7669.0|0|93.0|0|0.0|100
0|2021-12-13|7693.0|0|7693.0|0|94.0|0|0.0|100
0|2021-12-14|7693.0|0|7709.0|0|94.0|0|0.0|100
0|2021-12-15|7743.0|0|7743.0|0|95.0|0|0.0|100
