|dates|Owsley_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Owsley_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Owsley_Kentucky_UnitedStates.Male_Total_Population.data|Owsley_Kentucky_UnitedStates.Male_Total_Population.missing|Owsley_Kentucky_UnitedStates.Female_Total_Population.data|Owsley_Kentucky_UnitedStates.Female_Total_Population.missing|Owsley_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Owsley_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-19|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-20|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-21|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-22|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-23|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-24|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-25|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-26|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-27|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-28|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-29|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-30|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-10-31|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-01|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-02|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-03|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-04|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-05|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-06|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-07|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-08|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-09|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-10|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-11|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-12|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-13|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-14|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-15|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-16|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-19|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-20|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-21|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-22|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-23|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-24|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-25|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-26|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-27|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-28|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-29|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-11-30|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-01|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-02|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-03|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-04|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-05|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-06|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-07|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-08|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-09|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-10|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-11|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-12|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-13|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-14|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-15|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-16|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2021-12-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
