|dates|Lake_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lake_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lake_Florida_UnitedStates.Male_Total_Population.data|Lake_Florida_UnitedStates.Male_Total_Population.missing|Lake_Florida_UnitedStates.Female_Total_Population.data|Lake_Florida_UnitedStates.Female_Total_Population.missing|Lake_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Lake_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-18|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-19|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-20|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-21|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-22|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-23|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-24|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-25|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-26|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-27|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-28|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-29|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-30|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-10-31|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-01|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-02|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-03|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-04|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-05|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-06|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-07|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-08|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-09|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-10|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-11|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-12|95109.0|0|172515.0|0|183980.0|0|68268.0|0
0|2021-11-13|95109.0|0|172515.0|0|183980.0|0|68268.0|0
