|dates|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Bourbon_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Bourbon_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Bourbon_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3099.0|0|3099.0|0|32.0|0|0.0|100
0|2021-10-18|3111.0|0|3111.0|0|32.0|0|0.0|100
0|2021-10-19|3119.0|0|3119.0|0|32.0|0|0.0|100
0|2021-10-20|3133.0|0|3133.0|0|33.0|0|0.0|100
0|2021-10-21|3142.0|0|3142.0|0|33.0|0|0.0|100
0|2021-10-22|3144.0|0|3144.0|0|33.0|0|0.0|100
0|2021-10-23|3144.0|0|3144.0|0|33.0|0|0.0|100
0|2021-10-24|3144.0|0|3144.0|0|33.0|0|0.0|100
0|2021-10-25|3149.0|0|3149.0|0|35.0|0|0.0|100
0|2021-10-26|3159.0|0|3159.0|0|35.0|0|0.0|100
0|2021-10-27|3165.0|0|3165.0|0|35.0|0|0.0|100
0|2021-10-28|3167.0|0|3167.0|0|35.0|0|0.0|100
0|2021-10-29|3172.0|0|3172.0|0|35.0|0|0.0|100
0|2021-10-30|3172.0|0|3172.0|0|35.0|0|0.0|100
0|2021-10-31|3172.0|0|3172.0|0|35.0|0|0.0|100
0|2021-11-01|3179.0|0|3179.0|0|35.0|0|0.0|100
0|2021-11-02|3182.0|0|3182.0|0|35.0|0|0.0|100
0|2021-11-03|3202.0|0|3202.0|0|35.0|0|0.0|100
0|2021-11-04|3206.0|0|3206.0|0|35.0|0|0.0|100
0|2021-11-05|3216.0|0|3216.0|0|35.0|0|0.0|100
0|2021-11-06|3216.0|0|3216.0|0|35.0|0|0.0|100
0|2021-11-07|3216.0|0|3216.0|0|35.0|0|0.0|100
0|2021-11-08|3233.0|0|3233.0|0|35.0|0|0.0|100
0|2021-11-09|3241.0|0|3241.0|0|35.0|0|0.0|100
0|2021-11-10|3241.0|0|3256.0|0|35.0|0|0.0|100
0|2021-11-11|3256.0|0|3256.0|0|35.0|0|0.0|100
0|2021-11-12|3288.0|0|3288.0|0|35.0|0|0.0|100
0|2021-11-13|3288.0|0|3288.0|0|35.0|0|0.0|100
0|2021-11-14|3288.0|0|3288.0|0|35.0|0|0.0|100
0|2021-11-15|3319.0|0|3319.0|0|35.0|0|0.0|100
0|2021-11-16|3334.0|0|3334.0|0|35.0|0|0.0|100
0|2021-11-17|3360.0|0|3360.0|0|36.0|0|0.0|100
0|2021-11-18|3375.0|0|3375.0|0|36.0|0|0.0|100
0|2021-11-19|3397.0|0|3397.0|0|37.0|0|0.0|100
0|2021-11-20|3397.0|0|3397.0|0|37.0|0|0.0|100
0|2021-11-21|3397.0|0|3397.0|0|37.0|0|0.0|100
0|2021-11-22|3431.0|0|3431.0|0|37.0|0|0.0|100
0|2021-11-23|3440.0|0|3440.0|0|38.0|0|0.0|100
0|2021-11-24|3458.0|0|3458.0|0|38.0|0|0.0|100
0|2021-11-25|3458.0|0|3458.0|0|38.0|0|0.0|100
0|2021-11-26|3458.0|0|3458.0|0|38.0|0|0.0|100
0|2021-11-27|3458.0|0|3458.0|0|38.0|0|0.0|100
0|2021-11-28|3458.0|0|3458.0|0|38.0|0|0.0|100
0|2021-11-29|3492.0|0|3492.0|0|38.0|0|0.0|100
0|2021-11-30|3501.0|0|3501.0|0|38.0|0|0.0|100
0|2021-12-01|3514.0|0|3514.0|0|38.0|0|0.0|100
0|2021-12-02|3514.0|0|3536.0|0|38.0|0|0.0|100
0|2021-12-03|3551.0|0|3551.0|0|38.0|0|0.0|100
0|2021-12-04|3551.0|0|3551.0|0|38.0|0|0.0|100
0|2021-12-05|3551.0|0|3551.0|0|38.0|0|0.0|100
