|dates|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Sullivan_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|26265.0|0|26265.0|0|412.0|0|0.0|100
0|2021-10-18|26351.0|0|26351.0|0|412.0|0|0.0|100
0|2021-10-19|26429.0|0|26429.0|0|413.0|0|0.0|100
0|2021-10-20|26464.0|0|26464.0|0|413.0|0|0.0|100
0|2021-10-21|26515.0|0|26515.0|0|413.0|0|0.0|100
0|2021-10-22|26540.0|0|26540.0|0|413.0|0|0.0|100
0|2021-10-23|26540.0|0|26540.0|0|413.0|0|0.0|100
0|2021-10-24|26540.0|0|26540.0|0|413.0|0|0.0|100
0|2021-10-25|26540.0|0|26540.0|0|413.0|0|0.0|100
0|2021-10-26|26681.0|0|26681.0|0|423.0|0|0.0|100
0|2021-10-27|26722.0|0|26722.0|0|423.0|0|0.0|100
0|2021-10-28|26786.0|0|26786.0|0|423.0|0|0.0|100
0|2021-10-29|26816.0|0|26816.0|0|425.0|0|0.0|100
0|2021-10-30|26816.0|0|26816.0|0|425.0|0|0.0|100
0|2021-10-31|26816.0|0|26816.0|0|425.0|0|0.0|100
0|2021-11-01|26816.0|0|26816.0|0|425.0|0|0.0|100
0|2021-11-02|26930.0|0|26930.0|0|427.0|0|0.0|100
0|2021-11-03|26961.0|0|26961.0|0|427.0|0|0.0|100
0|2021-11-04|27006.0|0|27006.0|0|428.0|0|0.0|100
0|2021-11-05|27034.0|0|27034.0|0|429.0|0|0.0|100
0|2021-11-06|27034.0|0|27034.0|0|429.0|0|0.0|100
0|2021-11-07|27034.0|0|27034.0|0|429.0|0|0.0|100
0|2021-11-08|27034.0|0|27034.0|0|429.0|0|0.0|100
0|2021-11-09|27201.0|0|27201.0|0|432.0|0|0.0|100
0|2021-11-10|27229.0|0|27229.0|0|435.0|0|0.0|100
0|2021-11-11|27229.0|0|27229.0|0|435.0|0|0.0|100
0|2021-11-12|27327.0|0|27327.0|0|437.0|0|0.0|100
0|2021-11-13|27327.0|0|27327.0|0|437.0|0|0.0|100
0|2021-11-14|27327.0|0|27327.0|0|437.0|0|0.0|100
0|2021-11-15|27450.0|0|27450.0|0|437.0|0|0.0|100
0|2021-11-16|27498.0|0|27498.0|0|438.0|0|0.0|100
0|2021-11-17|27582.0|0|27582.0|0|438.0|0|0.0|100
0|2021-11-18|27641.0|0|27641.0|0|440.0|0|0.0|100
0|2021-11-19|27710.0|0|27710.0|0|438.0|0|0.0|100
0|2021-11-20|27710.0|0|27710.0|0|438.0|0|0.0|100
0|2021-11-21|27710.0|0|27710.0|0|438.0|0|0.0|100
0|2021-11-22|27828.0|0|27828.0|0|442.0|0|0.0|100
0|2021-11-23|27933.0|0|27933.0|0|442.0|0|0.0|100
0|2021-11-24|28002.0|0|28002.0|0|446.0|0|0.0|100
