|dates|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Robertson_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13937.0|0|13937.0|0|175.0|0|0.0|100
0|2021-10-18|13964.0|0|13964.0|0|176.0|0|0.0|100
0|2021-10-19|13967.0|0|13967.0|0|177.0|0|0.0|100
0|2021-10-20|13990.0|0|13990.0|0|182.0|0|0.0|100
0|2021-10-21|14011.0|0|14011.0|0|184.0|0|0.0|100
0|2021-10-22|14025.0|0|14025.0|0|188.0|0|0.0|100
0|2021-10-23|14025.0|0|14025.0|0|188.0|0|0.0|100
0|2021-10-24|14025.0|0|14025.0|0|188.0|0|0.0|100
0|2021-10-25|14025.0|0|14025.0|0|188.0|0|0.0|100
0|2021-10-26|14056.0|0|14056.0|0|188.0|0|0.0|100
0|2021-10-27|14062.0|0|14062.0|0|189.0|0|0.0|100
0|2021-10-28|14077.0|0|14077.0|0|189.0|0|0.0|100
0|2021-10-29|14084.0|0|14084.0|0|189.0|0|0.0|100
0|2021-10-30|14084.0|0|14084.0|0|189.0|0|0.0|100
0|2021-10-31|14084.0|0|14084.0|0|189.0|0|0.0|100
0|2021-11-01|14084.0|0|14084.0|0|189.0|0|0.0|100
0|2021-11-02|14113.0|0|14113.0|0|189.0|0|0.0|100
0|2021-11-03|14120.0|0|14120.0|0|189.0|0|0.0|100
0|2021-11-04|14133.0|0|14133.0|0|189.0|0|0.0|100
0|2021-11-05|14142.0|0|14142.0|0|191.0|0|0.0|100
0|2021-11-06|14142.0|0|14142.0|0|191.0|0|0.0|100
0|2021-11-07|14142.0|0|14142.0|0|191.0|0|0.0|100
0|2021-11-08|14142.0|0|14142.0|0|191.0|0|0.0|100
0|2021-11-09|14171.0|0|14171.0|0|195.0|0|0.0|100
0|2021-11-10|14179.0|0|14179.0|0|195.0|0|0.0|100
0|2021-11-11|14179.0|0|14179.0|0|195.0|0|0.0|100
0|2021-11-12|14201.0|0|14201.0|0|195.0|0|0.0|100
0|2021-11-13|14201.0|0|14201.0|0|195.0|0|0.0|100
0|2021-11-14|14201.0|0|14201.0|0|195.0|0|0.0|100
0|2021-11-15|14227.0|0|14227.0|0|195.0|0|0.0|100
0|2021-11-16|14238.0|0|14238.0|0|196.0|0|0.0|100
0|2021-11-17|14252.0|0|14252.0|0|196.0|0|0.0|100
0|2021-11-18|14267.0|0|14267.0|0|196.0|0|0.0|100
0|2021-11-19|14282.0|0|14282.0|0|196.0|0|0.0|100
0|2021-11-20|14282.0|0|14282.0|0|196.0|0|0.0|100
0|2021-11-21|14282.0|0|14282.0|0|196.0|0|0.0|100
0|2021-11-22|14301.0|0|14301.0|0|196.0|0|0.0|100
0|2021-11-23|14311.0|0|14311.0|0|196.0|0|0.0|100
0|2021-11-24|14318.0|0|14318.0|0|196.0|0|0.0|100
0|2021-11-25|14318.0|0|14318.0|0|196.0|0|0.0|100
0|2021-11-26|14318.0|0|14318.0|0|196.0|0|0.0|100
0|2021-11-27|14318.0|0|14318.0|0|196.0|0|0.0|100
0|2021-11-28|14318.0|0|14318.0|0|196.0|0|0.0|100
0|2021-11-29|14359.0|0|14359.0|0|197.0|0|0.0|100
0|2021-11-30|14381.0|0|14381.0|0|197.0|0|0.0|100
0|2021-12-01|14388.0|0|14388.0|0|198.0|0|0.0|100
0|2021-12-02|14414.0|0|14414.0|0|199.0|0|0.0|100
0|2021-12-03|14435.0|0|14435.0|0|200.0|0|0.0|100
0|2021-12-04|14435.0|0|14435.0|0|200.0|0|0.0|100
0|2021-12-05|14435.0|0|14435.0|0|200.0|0|0.0|100
0|2021-12-06|14474.0|0|14474.0|0|200.0|0|0.0|100
0|2021-12-07|14492.0|0|14492.0|0|204.0|0|0.0|100
0|2021-12-08|14518.0|0|14518.0|0|204.0|0|0.0|100
0|2021-12-09|14518.0|0|14518.0|0|204.0|0|0.0|100
0|2021-12-10|14568.0|0|14568.0|0|206.0|0|0.0|100
0|2021-12-11|14568.0|0|14568.0|0|206.0|0|0.0|100
0|2021-12-12|14568.0|0|14568.0|0|206.0|0|0.0|100
0|2021-12-13|14602.0|0|14602.0|0|206.0|0|0.0|100
0|2021-12-14|14602.0|0|14612.0|0|206.0|0|0.0|100
0|2021-12-15|14627.0|0|14627.0|0|206.0|0|0.0|100
0|2021-12-16|14645.0|0|14645.0|0|207.0|0|0.0|100
0|2021-12-17|14679.0|0|14679.0|0|207.0|0|0.0|100
0|2021-12-18|14679.0|0|14679.0|0|207.0|0|0.0|100
0|2021-12-19|14679.0|0|14679.0|0|207.0|0|0.0|100
0|2021-12-20|14745.0|0|14745.0|0|207.0|0|0.0|100
0|2021-12-21|14776.0|0|14776.0|0|208.0|0|0.0|100
0|2021-12-22|14834.0|0|14834.0|0|209.0|0|0.0|100
0|2021-12-23|14896.0|0|14896.0|0|228.0|0|0.0|100
0|2021-12-24|14896.0|0|14896.0|0|228.0|0|0.0|100
0|2021-12-25|14896.0|0|14896.0|0|228.0|0|0.0|100
0|2021-12-26|14896.0|0|14896.0|0|228.0|0|0.0|100
0|2021-12-27|15024.0|0|15024.0|0|230.0|0|0.0|100
0|2021-12-28|15071.0|0|15071.0|0|231.0|0|0.0|100
0|2021-12-29|15171.0|0|15171.0|0|231.0|0|0.0|100
0|2021-12-30|15304.0|0|15304.0|0|232.0|0|0.0|100
0|2021-12-31|15304.0|0|15304.0|0|232.0|0|0.0|100
0|2022-01-01|15304.0|0|15304.0|0|232.0|0|0.0|100
0|2022-01-02|15304.0|0|15304.0|0|232.0|0|0.0|100
0|2022-01-03|15744.0|0|15744.0|0|234.0|0|0.0|100
0|2022-01-04|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-05|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-06|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-07|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-08|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-09|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-10|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-11|15814.0|0|15814.0|0|234.0|0|0.0|100
0|2022-01-12|16648.0|0|16648.0|0|236.0|0|0.0|100
0|2022-01-13|16648.0|0|16648.0|0|236.0|0|0.0|100
0|2022-01-14|16648.0|0|16648.0|0|236.0|0|0.0|100
0|2022-01-15|16648.0|0|16648.0|0|236.0|0|0.0|100
0|2022-01-16|16648.0|0|16648.0|0|236.0|0|0.0|100
0|2022-01-17|16648.0|0|0.0|100|236.0|0|0.0|100
