|dates|CapeGirardeau_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|CapeGirardeau_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|CapeGirardeau_Missouri_UnitedStates.Male_Total_Population.data|CapeGirardeau_Missouri_UnitedStates.Male_Total_Population.missing|CapeGirardeau_Missouri_UnitedStates.Female_Total_Population.data|CapeGirardeau_Missouri_UnitedStates.Female_Total_Population.missing|CapeGirardeau_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|CapeGirardeau_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-18|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-19|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-20|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-21|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-22|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-23|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-24|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-25|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-26|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-27|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-28|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-29|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-30|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-10-31|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-01|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-02|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-03|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-04|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-05|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-06|13279.0|0|38191.0|0|40562.0|0|16776.0|0
0|2021-11-07|13279.0|0|38191.0|0|40562.0|0|16776.0|0
